PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
"GABRIEL BARTOLOME 
ONTIVEROS MARTINEZ",LA SALUD MERIDANA,FARMACIA,C ALLE 54 # 367 X 33-A,CENTRO,97000,MERIDA,YUCATAN,FA0500932,10-ene-08,"GRUPO II, III, VACUNAS, HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICO DE 
CHIAPAS SAPI DE C.V,","FARMACIAS DEL AHORRO 
SUCURSAL ELEFANTE",FARMACIA,CALLE 21 # 387 X  48-A Y 48,SAN PEDRO UXMAL,97203,MERIDA,YUCATAN,FA0500935,01-mar-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","WAL MART DE MERIDA 
NORTE YUCATAN",FARMACIA,"C 30 No 185 X 23 Y 
PERIFERICO",SAN RAMON NORTE,97117,MERIDA,YUCATAN,FA0500937,27-abr-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMEDERIVADOS Y 
TOXOIDES"
"SUPER SAN FRANCISCO DE 
ASIS SA DE CV","FAMA SUCURSAL 
PROGRESO",FARMACIA,CALLE 80 #  141 X 79 Y 81,CENTRO,97320,MERIDA,YUCATAN,FA05900450,24-abr-09,"GRUPO II, III, VACUNAS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL MOTUL",FARMACIA,CALLE 27 # 309 X 26 Y 28,CENTRO,97430,MOTUL,YUCATAN,FA0520951,16-nov-12,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"HOSPITAL COMUNITARIO DE 
TICUL, YUCATAN","HOSPITAL COMUNITARIO 
DE TICUL FARMACIA",FARMACIA,48-A S/N X 17 Y 19,LAS TINAJAS,97860,TICUL,YUCATAN,FA0890895,13-ago-07,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE C.V.","FARMACIA DEL AHORRO 
SUCURSAL DONDE",FARMACIA,"CALLE 21 No 210-B X 30 Y 
32",GARCIA GINERES,97070,MERIDA,YUCATAN,FA0500958,20-oct-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"TIENDAS SORIANA, S.A.","FARMACIAS SORIANA AV. 
128",FARMACIA,"CALLE 43 # 810 X 124-A Y 
132",XOCLAN SANTOS,97246,MERIDA,YUCATAN,FA0500958,,GRUPO II Y III
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD MEDICA DE 
ATENCION AMBULATORIA",FARMACIA,AV 7 # 432-A X 58 Y 60,"RESIDENCIAL 
PENCIONES",97217,MERIDA,YUCATAN,FA0500887,01-mar-08,"GRUPO I. II. III, VACUNAS Y  HEMODERIVADOS"
I.S.S.S.T.E.,"UNIDAD DE MEDICINA 
FAMILIAR PROGRESO",FARMACIA,CALLE 37 S/N,CENTRO,97320,PROGRESO,YUCATAN,FA0590855,05-oct-12,"GRUPO II, III Y VACUNAS"
I.S.S.S.T.E.,"UNIDAD DE MEDICINA 
FAMILIAR  DZIDZANTUN",FARMACIA,CALLE 19 S/N X 12 Y 14,CENTRO,97115,DZIDZANTUN,YUCATAN,FA0271570,31-ene-12,"GRUPO I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL PLAZA 65",FARMACIA,C 27 No 127-E X 24 Y 26,CHICHEN ITZA,97170,MERIDA,YUCATAN,FA0500886,19-abr-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO, S. DE R. L. DE CV",MI BODEGA TIZIMIN,FARMACIA,CALLE 50 # 382 X 45 Y 47,CENTRO,97700,TIZIMIN,YUCATAN,FA0960891,12-sep-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA TICUL II,FARMACIA,C 23  S/N X 32 Y 34,CENTRO,97860,TICUL,YUCATAN,FA0890836,14-dic-06,"GRUPO II, III"
"COMERCIALIZADORA  
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL CORREA RACHO",FARMACIA,C 17 No 98 X 18 Y 20,DEL ARCO,97050,MERIDA,YUCATAN,FA0500924,10-ene-08,GRUPO II y III.
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL CALLE 67",FARMACIA,CALLE 67 # 491-B X 58 Y 60,CENTRO,97000,MERIDA,YUCATAN,FA0500936,13-dic-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR, 
S.A.","FARMACIAS BAZAR  
MONTECRISTO",FARMACIA,CALLE 5 S/N X 8 Y ESQ.,MONTECRISTO,97133,MERIDA,YUCATAN,FA0500865,18-jul-07,"GRUPO I, II, III"
"COMERCIALIZADORA 
FARMACEUTICA DE 
CHIAPAS, SAPI DE CV","FARMACIAS DEL AHORRO 
SUC. JACINTO CANEK",FARMACIA,"CALLE 59-A # 561-A X 96 Y 
98","PASEO DE LAS 
FUENTES",97225,MERIDA,YUCATAN,FA0500902,10-ene-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S DE RL DE CV","FARMACIA MI BODEGA 
AURRERA KANASIN",FARMACIA,"C. 28 No 151 X  19 Y 21 
CENTRO",CENTRO,97370,KANASIN,YUCATAN,FA0411518,28-abr-10,"GRUPO II,III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTTOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,"C 39 No 229-B DPTO 17 X 48 
Y 50",CENTRO,97780,VALLADOLID,YUCATAN,FA1020817,03-ago-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA TZUCACAB,FARMACIA,C 30 S/N X 27 Y 25,CENTRO,97960,TZUCACAB,YUCATAN,FA0981572,02-feb-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL",HOSPITAL JUAREZ,FARMACIA,C.AV ITZAEZ X AV COLON,GARCIA GINERES,97070,MERIDA,YUCATAN,FA0500849,13-sep-06,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA AKIL,FARMACIA,C 24 No 67 X 31,20 DE NOVIEMBRE,97990,AKIL,YUCATAN,FA0031526,05-ago-10,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA 
MACROPLAZA",FARMACIA,"C 25 DIAGONAL No 457 X 28-
A Y 36","POLIGONO 108 
ITZIMNA",97143,MERIDA,YUCATAN,FA0501530,27-ago-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL 65",FARMACIA,C 65 No 464 X 54 Y 54-A,CENTRO,97000,MERIDA,YUCATAN,FA0501524,07-jul-10,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
TIENDA SORIANA SA DE CV,FARMACIA SORIANA TIZIMIN,FARMACIA,C 51 No 366 X 46 Y 44-A,CENTRO,97700,TIZIMIN,YUCATAN,FA0961556/11,28-jun-11,GRUPO II Y III
SALUCOM SA DE CV,FARMACIA LA PAZ,FARMACIA,C 86 No 493 X 51Y 59-A,CENTRO,97000,MERIDA,YUCATAN,FA0501532,15-oct-10,"GRUPO I,II.III, VACUNAS, SUEROSDE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV",DEL AHORRO SUC. 50 SUR,FARMACIA,"C.50 No 754 Y 756 X 107 Y 
111",CENTRO,97000,MERIDA,YUCATAN,FA0501534,23-nov-10,"GRUPO  II, III, VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS  DE ORIGEN ANIMAL,HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S DE RL DE CV","FARMACIA MI BODEGA 
AURRERA TEKAX",FARMACIA,"C  53 No 194-C Y 194-D X 44 
Y 42",ALVARO OBREGON,97970,TEKAX,YUCATAN,FA0791546/11,06-jun-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIA DEL AHORRO 
SUCURSAL MADERO",FARMACIA,C.65-A No182-D X33 Y 35,"FRANCISCO  I. 
MADERO",97240,MERIDA,YUCATAN,FA0500944,01-sep-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"FARMACIAS COMERCIO S.A. 
DE C.V.","FARMACIA COMERCIO 
BRISAS",FARMACIA,C.24 No 612 X 43 Y 43 Y 45,BRISAS.,97115,MERIDA,YUCATAN,FA0500871,10-ene-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S. DE R.L. DE C.V.","FARMACIA BODEGA 
AURRERA GLORIETA 
CAUCEL",FARMACIA,C.70 No 661 X 59,"FRACCIONAMIENTO 
CIUDAD CAUCEL",97314,MERIDA,YUCATAN,FA0501558/11,05-ago-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE C.V.","FARMACIA DEL AHORRO 
SUCURSAL UMAN",FARMACIA,C.20-A No 101 X 21 Y 23,CENTRO,97390,UMAN,YUCATAN,FA1011552,27-jun-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE C.V.","FARMACIAS DEL AHORRO 
SUCURSAL PARQUE 
CENTRAL",FARMACIA,C.62 No 503 X 61 Y 63,CENTRO,97000,MERIDA,YUCATAN,FA0501543,09-may-11,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR S.A 
DE C.V.","FARMACIAS BAZAR 
SUCURSAL CLINICA MERIDA 
II",FARMACIA,C.27 No 220 B X 30  Y 32,GARCIA GINERES,97070,MERIDA,YUCATAN,FA0501548/11,25-mar-11,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL VALLADOLID",FARMACIA,C.46 No 197-B X 37 Y 39,CENTRO,97780,VALLADOLID,YUCATAN,FA1021622,21-may-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS, 
SUCURSAL CAUCEL 
TERRANOVA",FARMACIA,C 31 No 751 X 92 Y 92-A,CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501569,31-ene-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CANEK,FARMACIA,"C.59-A No 289 LOCAL.1 X 
128 Y 130",EL PORVENIR,97226,MERIDA,YUCATAN,FA0501541/11,25-mar-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUC MACROPLAZA",FARMACIA,"C.17 DIAGONAL No 362 
INTERIOR 12 Y 13 X 28 Y 35","POLIGONO 108 
ITZIMNA",97143,MERIDA,YUCATAN,FA0501539,25-mar-11,"GRUPOII,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL  BAZAR 
S.A. DE C.V.","FARMACIA BAZAR 
SUCURSAL TIZIMIN II",FARMACIA,C.51 No 399 LOC.1 X 48 Y 50,CENTRO,97700,TIZIMIN,YUCATAN,FA0961529,30-ago-11,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA  
FARMACEUTICA DE CHIAPAS 
SAPI DE C.V.","FARMACIA DEL AHORRO 
SUC.PROGRESO",FARMACIA,C. 80 No 123 X 27 Y 29,CENTRO,97320,PROGRESO,YUCATAN,FA0591533,"16-11-2010,","GRUPOII, III, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S. DE R.L. DE C.V.","FARMACIA MI BODEGA 
AURRERA TICUL",FARMACIA,"C.19 No 203-B Y 203-D X 26 
Y 28 CENTRO",TICUL,97860,TICUL,YUCATAN,FA0891538/11,25-mar-11,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTOTOXINAS, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA T-1,FARMACIA,C 41 No 438-B X 32,INDUSTRIAL,97150,MERIDA,YUCATAN,FA0501536,06-ene-11,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA BACA,FARMACIA,"C 22 No 99 X 21 Y 19 
CENTRO",CENTRO,97450,BACA,YUCATAN,FA0041573,08-feb-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
ISSSTE,"UNIDAD DE MEDICINA 
FAMILIAR TEKAX",FARMACIA,"C.48 No 204 X 53 Y 55 
CENTRO",TEKAX,97970,TEKAX,YUCATAN,FA0791567,13-jul-11,"GRUPO I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS TOXOIDES"
ISSSTE,"UNIDAD DE MEDICINA 
FAMILIAR OXKUTZCAB",FARMACIA,C.36 S/N  X 15 Y 17,MEJORADA,97115,OXKUTZCAB,YUCATAN,FA0561583,24-may-12,"GRUPO I,II,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS 
TOXOIDES"
ISSSTE,UMF. VALLADOLID C+R2,BOTICA,"C.60 S/N 37-A Y 37-B 
BACALAR",VALLADOLID,97780,VALLADOLID,YUCATAN,BO0500010,13-jul-11,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DELBAZAR S.A 
DE C.V.","FAMACIA BAZAR SUC. 
CHUBURNA",FARMACIA,C.21 No 96-A X 16 Y18,"CHUBURNA DE 
HIDALGO INN",97115,MERIDA,YUCATAN,FA0501561,22-oct-12,"GRUPO I,II,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS 
TOXOIDES"
"INSTITUTO MUNICIPAL 
DESALUD","INSTITUTO MUNICIPAL DE 
SALUD",FARMACIA,C. 50 No. 402 X 29 Y 31,PACABTUN,97160,MERIDA,YUCATAN,FA0501557/11,01-ago-11,
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","FARMACIA MI BODEGA 
AURRERA OXKUTZCAB",FARMACIA,C 49 No 87-B X 44 Y 46,CENTRO,97880,OXKUTZCAB,YUCATAN,FA0561563/11,13-sep-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"HOSP. REG. DE ALTA 
ESP.DE LA PENINSULA DE 
YUCATAN","HOSP.REG.DE ALTA ESP.DE 
LA PENINSULA DE YUCATAN",BOTICA,"KM. 8.5 S/N CARR. MERIDA 
CHOLUL",MAYA,97134,MERIDA,YUCATAN,BO0500016,21-nov-08,"GRUPO I, II, II, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES."
FARMACON SA DE CV,"FARMACIA YZA PRADO 
NORTE",FARMACIA,"C 17 N0 181 Y 183 
DEPARTAMENTO 4 X 16",MEXICO ORIENTE,97137,MERIDA,YUCATAN,FA0501553,03-nov-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SA DE CV","DEL AHORRO SUCURSAL 
ISSSTE",FARMACIA,C. 7 N0. 222-A X 34 Y 36,PENSIONES,97217,MERIDA,YUCATAN,FA0500903,13-dic-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN","HOSPITAL COMUNITARIO 
DE PETO BOTICA",BOTICA,"CARRETERA PETO-
TZUCACAB KM.1 S/N",S/N,97930,PETO,YUCATAN,BO0580938,01-jul-10,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL HUNUCMA",FARMACIA,C. 31 No 198 A X 28 Y 30,CENTRO,97350,HUNUCMA,YUCATAN,FA0381525,28-jul-10,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO DE SEGURIDAD 
SOCIAL Y SERVICIO SOCIAL 
DE LOS TRABAJADORES DEL 
ESTADO",UNIDAD MEDICA FAMILIAR,FARMACIA,"CALLE 20 N0. 81 X 15-A Y 15-
B",CENTRO,97800,MAXCANU,YUCATAN,FA0481612,22-feb-13,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE C.V.","FARMACIAS DEL AHORRO 
SUC. MONTECRISTO",FARMACIAS,C. 22 N0. 63 X 3 Y 5,"SAN ANTONIO 
CINTA",97139,MERIDA,YUCATAN,FA0500959,09-jul-11,"GRUPO II.III, VACUNAS, SUEROSDE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
"NUEVA WALMART DE 
MEXICO S. DE R.L. DE C.V.","MI BODEGA AURRERA 
OXCUTZCAB",FARMACIA,C. 49 N0. 87-B X 44 Y 46,CENTRO,97880,OXKUTZCAB,YUCATAN,FA05615663/11,13-sep-11,
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","WALMART SUPERCENTER 
PERIFERICO MERIDA",FARMACIA,"PERIFERICO NORTE S/N 
ESQUINA CAUCEL.",CENTRO,97314,MERIDA,YUCATAN,FA0501568,31-ene-12,"GRUPO II,III, VACUNASSUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"TIENDAS SORIANA S.A DE 
C.V.",SORIANA ALTABRISA,FARMACIA,C. 7 N0. 451 X 22 Y 24,ALTABRISA,97115,MERIDA,YUCATAN,FA0501588,07-ago-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN","UNIDAD DE 
ESPECIALIDADES MEDICAS 
DE ENFERMEDADES 
CRONICAS UNEME EC",FARMACIA,C. 2-A N0. 345-C X 39-C Y 39,MAYAPAN,97115,MERIDA,YUCATAN,FA0501565/11,09-nov-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"INSTITUTO DE SEGURIDAD 
SOCIAL Y SERVICIO SOCIAL 
DE LOS TRABAJADORES DEL 
ESTADO","UNIDAD MEDICA FAMILIAR 
SAN CARLOS",FARMACIA,C. 9 N0. 301 X 10,SAN CARLOS,97115,MERIDA,YUCATAN,FA0501576,23-mar-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
PEDRO ROSADO ARTEZAN,"FARMACIA Y DROGUERIA 
COMERCIO",FARMACIA,C 54 No 522-A X 65 Y 67,CENTRO,97000,MERIDA,YUCATAN,FA0501605,16-nov-12,GRUPO II Y III
FARMACON SA DE CV,FARMACIA YZA CONKAL,FARMACIA,C 23 No 102 X 20,CENTRO,97345,CONKAL,YUCATAN,FA0131585,04-jul-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CHELEM,FARMACIA,C 21 No 52 X 22,CENTRO,97322,CHELEM,YUCATAN,FA0591566/11,23-nov-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES."
FARMACON SA DE CV,FARMACIA YZA KANASIN II,FARMACIA,C 19 N0 209 X 32 Y 34,PABLO MORENO,97370,KANASIN,YUCATAN,FA04100939,15-nov-11,"GRUPO II,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"SERGIO MANUEL PEREZ 
CERVERA","BOTICA 
INTRAHOSPITALARIA DE LA 
CLINICA MARIA JOSE",BOTICA,C.53 N0. 484 X 54 Y 56,CENTRO,97000,MERIDA,YUCATAN,FA0501602,04-oct-12,GRUPO I Y II
CANAPHARMA S.A DE C.V,CANAPHARMA S.A DE C.V,FARMACIA,C.54 N0. 373-A X 33-A Y 35,CENTRO,97000,MERIDA,YUCATAN,FA0501578,12-abr-12,"GRUPO II,III, VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"SOCIEDAD MEDICA 
CARRANZA S.A DE C.V.","SOCIEDAD MEDICA 
CARRANZA S.A DE C.V.",FARMACIA,C.33 N0. 486 D X 48 Y 50,JESUS CARRANZA,97109,MERIDA,YUCATAN,FA0501575,16-mar-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
FARMACON SA DE CV,FARMACIA YZA KUKULCAN,FARMACIA,"C 18 PONIENTE MZA 87 N0. 
108",UNIDAD MORELOS,97190,MERIDA,YUCATAN,FA0501606,16-nov-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
FIDEL VELAZQUEZ",FARMACIA,C 38 No 1912 X 69 Y 36,FIDEL VELAZQUEZ,97166,MERIDA,YUCATAN,FA0501586,04-jul-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FARMACIA TELEFONICA 
PENINSULAR SA DE CV","FARMACIA TELEFONICA 
PENINSULAR SA DE CV",FARMACIA,C 7 No 433 X 20 Y 22,ALTABRISA,97130,MERIDA,YUCATAN,FA0501580,02-may-12,"GRUPO I,II,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS 
TOXOIDES"
SANBORN HERMANOS S.A,"SANBORNS MERIDA GRAN 
PLAZA",FARMACIA,"C. 75 N0. 196 LOCAL 201 X 
42 Y 50 DIAGONAL",MONTES DE AME,97128,MERIDA,YUCATAN,FA0501598,25-oct-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
