ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIA DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE 1 NUM.353 LOCAL A,COL. MIGUEL HIDALGO,86126,CENTRO,TABASCO,27004010567,09/12/2015,
FARMACIA SANTO TOMAS,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE AQUILE SERDAN 646,"COL. JOSE NARCISO 
ROVIROSA",86050,CENTRO,TABASCO,27004010566,24/11/2015,
HOSPITAL PRIVADO SANTA FE S.A. DE C.V.,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE JUAREZ NUM. 106,POBLADO DOS MONTES,86280,CENTRO,TABASCO,27004010534,07/07/2014,
"TIENDAS SORIANA S.A. DE C.V. (FARMACIA 
SORIANA SENDERO VILLAHERMOSA)","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","CIRCUITO INTERIOR CARLOS PELLICER 
CAMARA NUM. 1020","COL. JOSE MARIA PINO 
SUAREZ",86029,CENTRO,TABASCO,27004010515,16/01/2014,
FARMACIA DERMOCUTANEA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. GREGORIO MENDEZ NUM. 1202 L-5,CENTRO,86000,CENTRO,TABASCO,27004010460,22/03/2012,
"CENTRO DE ESPECIALIDADES MEDICAS 
INTEGRALES S.C.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. BLANCAS MARIPOSAS NUM. 119,FRACC. REAL DEL ANGEL,86150,CENTRO,TABASCO,27004010417,29/06/2011,
SUPER FARMACIAS E SHEPERI S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. GIL Y SAENZ NUM. 507,CENTRO,86000,CENTRO,TABASCO,27004010410,15/04/2011,
SANT-MART-MEDICAL PROVIDER S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. GREGORIO MENDEZ NUM. 927,NUEVA VILLAHERMOSA,86070,CENTRO,TABASCO,,11/03/2011,
FARMACIA CON SALUD,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. ASUNCION CASTELLANOS # 5,"COL. JOSE MARIA PINO 
SUAREZ",86029,CENTRO,TABASCO,27004010498,19/09/2013,
"SECRET. DE LA DEF. NAC. FARM. DE LA 
ENFERMERIA DE MILITAR VHSA.","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","PASEO USUMACINTA, CAMPO MIL. 30-A 
S/N.",ATASTA DE SERRA,86100,CENTRO,TABASCO,27004010603,03/08/2016,
"SUMINISTROS MEDICOS Y EQUIPOS DEL 
SURESTE S.A. DE C.V.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CARRETERA A LA ISLA KM. 0+200 S/N.,COL. MIGUEL HIDALGO,86126,CENTRO,TABASCO,27004010373,23/02/2010,
DERMOPIEL (FARMACIA DERMATOLOGICA),"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. GREGORIO MENDEZ 1220 INT.,CENTRO,86000,CENTRO,TABASCO,27004010359,12/05/2009,
"GRUPO DE ESPECIALIDADES FARMACEUTICAS 
GENESIS S.A.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV.GREGORIO MENDEZ 2826-ALTOS,ATASTA,86100,CENTRO,TABASCO,27004010356,21/04/2009,
FARMACIA ESTRELLA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. LA CEIBA S/N.,PRIMERO DE MAYO,86190,CENTRO,TABASCO,27004010344,12/09/2008,
DIPROVAC,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. GREGORIO MENDEZ 1025,CENTRO,86000,CENTRO,TABASCO,27004010334,19/05/2008,
"FARMACIAS DEL AHORRO SUCURSAL 
GRIJALVA","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV. ADOLFO RUIZ CORTINEZ 1335-C,CENTRO 03:,11 p. m.86000,CENTRO,TABASCO,,,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE BASTAR ZOZAYA 229,CENTRO,86000,CENTRO,TABASCO,27004010321,18 DICIEMBRE 20070,
"ONCOLOGICOS Y ESPECIALIDADES DEL 
SURESTE S.A. DE C.V.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE NIÑOS ARTILLEROS NUM. 122,FRACC. VISTA ALEGRE,86137,CENTRO,TABASCO,,29/01/2009,
FARMACIA DEL TOMOGRAFO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PALMITAS S/N.,FRACC. PALMITAS/ATASTA,86100,CENTRO,TABASCO,27004010239,24/11/2006,
FARMACIA SAM´S CLUB,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","PROLONGACION ANILLO PERIFERICO 
701",CARRIZAL,86030,CENTRO,TABASCO,,09/11/2006,
FARMACIA DEL AHORRO SUCURSAL SANDINO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. 16 DE SEPTIEMBRE ESQ. CESAR 
SANDINO NUM. 442-A",PRIMERO DE MAYO,86190,CENTRO,TABASCO,27004010191,06/05/2011,
"GRUPO DE ESPECIALIDADES FARMACEUTICAS 
GENESIS S.A.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE IGNACIO ZARAGOZA NUM. 305,CENTRO,86000,CENTRO,TABASCO,27004010144,22/03/2010,
FARMACIA FEGAS,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 1,COL. CARLOS A. MADRAZO,86061,CENTRO,TABASCO,27004010140,19/10/2006,
"COMERCIALIZADORA DE MEDICAMENTOS 
IDEAL S.A. DE C.V.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE PINO SUAREZ NUM. 743,CENTRO,86000,CENTRO,TABASCO,27004010139,03/04/2008,
"COMERCIALIZADORA DE MEDICAMENTOS 
IDEAL S.A. DE C.V.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 1 NUM. 357,COL. CARLOS A. MADRAZO,86126,CENTRO,TABASCO,27004010138,28/09/2006,
FARMACIA JJBB,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE CUATRO NUM. 102,EL RECREO,86020,CENTRO,TABASCO,,12/09/2006,
DIABETES MUNDO S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. RAMON MENDOZA NUM. 209,EL RECREO,86020,CENTRO,TABASCO,,11/09/2006,
FARMACIA SUPERAMA GALERIAS,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","PROLONGACION 27 DE FEBRERO NUM. 
3016",GALAXIA/TABASCO 2000,86035,CENTRO,TABASCO,27004010309,15/02/2007,
FARMACIAS DEL AHORRO S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. PASEO USUMACINTA ESQ. QUINTIN 
ARAUZ S/N. MODULO 1",PRIMERO DE MAYO,86080,CENTRO,TABASCO,27004010304,10/01/2011,
FARMACIA IRIS,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. FRANCISCO JAVIER MINA ESQ. AV. 
MENDEZ SN.",CENTRO,86000,CENTRO,TABASCO,,08/12/2006,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE REVOLUCION 1350,18 DE MARZO,86140,CENTRO,TABASCO,27004010291,07/12/2006,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. UNIVERSIDAD ESQ. MACAYO,"COL. JOSE MARIA PINO 
SUAREZ",86020,CENTRO,TABASCO,27004010270,,
FARMACIA IRIS,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE LA CEIBA NUM. 115-A,1RO. DE MAYO,86190,CENTRO,TABASCO,27004010261,28/11/2006,
"BODEGA AURRERA PERIFERICO 
VILLAHERMOSA","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PROL. PASEO USUMACINTA NUM. 409,EL GUAYABAL,86090,CENTRO,TABASCO,27004010257,28/11/2006,
FARMACIAS DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE REFORMA 312,COL. SAN MIGUEL,86323,COMALCALCO,TABASCO,27005010794,08/10/2018,
"FARMACIA INTRAHOSPITALARIA DE LA 
CLINICA MEDICO QUIRURGICO DR. OCAMPO","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE MORELOS 404,CENTRO,86300,COMALCALCO,TABASCO,27005010792,10/09/2018,
"FARMACIA INTRAHOSPITALARIA MATERNIDAD 
MADRE DE GUADALUPE","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE BENITO JUAREZ GARCIA 806,VICENTE GUERRERO,86350,COMALCALCO,TABASCO,27005010791,10/09/2018,
"FARMACIA INTRAHOSPITALARIA DE LA 
CLINICA 27 DE OCTUBRE","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",CALLE QUERIDO MOHENO 180,MORELOS,86389,COMALCALCO,TABASCO,27005010732,26/10/2017,
FARMACIA GUADALAJARA S.A. DE C.V.,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","CARRETERA COMALCALCO-
TECOLUTILLA","R/A. REYES HERNANDEZ 1RA. 
SECCION",86650,COMALCALCO,TABASCO,27005010727,07/09/2017,
"FARMACIA INTRAHOSPITALARIA SERVICIO 
REMUNERADOS DE HOSPITALIZACION","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","BLVD-ADOLFO LOPEZ MATEOS 
ESQUINA IGNACIO LOPEZ RAYON 616",VICENTE GUERRERO,86350,COMALCALCO,TABASCO,27005010725,01/08/2017,
"FARMACIAS DEL AHORRO SUCURSAL ADOLFO 
LOPEZ MATEOS","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","BOULEVARD LEANDRO ROVIROSA 
WADE 901",SAN SILVERIO,86320,COMALCALCO,TABASCO,27005010718,28/04/2017,
FARMACIA GUADALAJARA S.A. DE C.V.,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",SANCHEZ MARMOL 120 LOCALES B-C-,CENTRO,86300,COMALCALCO,TABASCO,27005010717,28/04/2017,
FARMACIA GUADALAJARA S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",27 DE FEBRERO NO. 510,VILLA ALDAMA,86660,COMALCALCO,TABASCO,27005010365,21/09/2009,
MI FARMACIA DR. ZAPATA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ADOLFO LOPEZ MATEOS S/N.,SOLIDARIDAD NACIONAL AC,86340,COMALCALCO,TABASCO,27005010406,10/03/2011,
FARMACIAS DE DESCUENTO UNION,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",ARISTA MZ. 16 ZONA 1 S/N,CENTRO,86300,COMALCALCO,TABASCO,27005010623,30/09/2016,
"FARMACIA YZA COMALCALCO HOSPITAL 
GENERAL","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","AVENIDA. GREGORIO MENDEZ MAGAÑA 
1","CENTRO
03:","86300
11 p. m.",COMALCALCO,TABASCO,27005010759,10/03/2018,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"FARMACIA DEL AHORRO SUCURSAL 
COMALCALCO","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",FRANCISCO I. MADERO SN.,VILLA ALDAMA,86660,COMALCALCO,TABASCO,27005010700,19/01/2017,
"FARMACIA DE DESCUENTO UNION SUCURSAL 
ALDAMA PARQUE CENTRAL","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV. NIÑOS HEROES SN.,COL. CENTRO,86670,COMALCALCO,TABASCO,27005010598,08/07/2016,
FARMACIAS DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",SANCHEZ MARMOL 306,CENTRO,86300,COMALCALCO,TABASCO,27005010699,11/01/2017,
FARMACIA DE LA CLINICA SAN ISIDRO,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",REFORMA NORTE ESQ. SIMON BOLIVAR,BELEN,86320,COMALCALCO,TABASCO,27005010697,11/01/2017,
"FARMACIA INTRAHOSPITALARIA CLINICA 
MEDICO QUIRURGICO LOS ANGELES","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",BENITO JUAREZ S/N,VILLA ALDAMA,86660,COMALCALCO,TABASCO,27005010679,09/11/2016,
FARMACIA YZA COMALCALCO VILLA ALDAMA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",BLVD. ADOLFO LOPEZ MATEOS NO. 102,CENTRO,86300,COMALCALCO,TABASCO,27005010414,07/06/2011,
TIENDAS CHEDRAUI S.A. DE C.V.,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",BLVD. ADOLFO LOPEZ MATEOS NUM.117,COL. CENTRO,86300,COMALCALCO,TABASCO,27005010593,28/04/2016,
"FARMACIA DEL CENTRO MEDICO DE 
ESPECIALIDADES J.E.M.A. SIGLO XXI S.A. DE 
C.V.","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",BLVD. ADOLFO LOPEZ MATEOS S/N.,CENTRO,86300,COMALCALCO,TABASCO,27005010658,28/10/2016,
FARMACIA YZA COMALCALCO BOULEVARD,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",BLVD. ADOLFO LOPEZ MATEOS S/N.,FRACC. SANTO DOMINGO,86340,COMALCALCO,TABASCO,27005010342,08/11/2008,
FARMACIA SORIANA SUPER,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","BLVD. LEANDRO ROVIROSA WADE 100 
SUR, LOCAL 1",CENTRO,86300,COMALCALCO,TABASCO,27005010374,24/02/2010,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","BLVD. LEANDRO ROVIROSA WADE 111 
NORTE",CENTRO,86300,COMALCALCO,TABASCO,27005010168,09/04/2010,
"FARMACIA DEL HOSP. GENERAL ""DESIDERIO 
G. ROSADO CARBAJAL""","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",CALLE MIGUEL HIDALGO SN.,COL. CENTRO,86640,COMALCALCO,TABASCO,27005010599,08/07/2016,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",GARCIA SANCHEZ S/N.,MAGISTERIAL,86622,COMALCALCO,TABASCO,27005010354,10/02/2009,
FARMACIA ISSSTE,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",GREGORIO MENDEZ NO. 201,CENTRO,86300,COMALCALCO,TABASCO,27005010164,16/10/2006,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",GUILLERMO PRIETO ORIENTE 420,LOPEZ MATEOS,86380,COMALCALCO,TABASCO,27005010295,08/12/2012,
TIENDAS SORIANA S.A. DE C.V.,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",IGNACIO LOPEZ RAYON 1031 P.B.,CENTRO,86300,COMALCALCO,TABASCO,27005010637,14/10/2016,
FARMACIA YZA COMALCALCO LOPEZ RAYON,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",IGNACIO LOPEZ RAYON 401,SANTA AMALIA,86370,COMALCALCO,TABASCO,27005010397,05/01/2011,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","IGNACIO ZARAGOZA ESQ. 
CORREGIDORA 724",CENTRO,86300,COMALCALCO,TABASCO,27005010363,15/05/2009,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",JUAREZ  Y MARIANO ESCOBEDO  # 402,CENTRO,86300,COMALCALCO,TABASCO,27005010272,04/12/2006,
