ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA MAY,FARMACIA,ABASOLO No 32,CENTRO,56900,AMECAMECA,ESTADO DE MÉXICO,15009090035,25-Sep-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL"
FARMACIA ASIS,FARMACIA,AV. CUAUHTÉMOC No 15-A,SAN MIGUEL JACALONES,56600,CHALCO,ESTADO DE MÉXICO,15025090125,27-ago-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,AV. ALFREDO DEL MAZO No 382,INDEPENDENCIA,56617,VALLE DE CHALCO,ESTADO DE MÉXICO,15122090139,04-Sep-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
EJE FARMACEÚTICO DE VALLE A.C.,FARMACIA,FRANCISCO VILLA No 5,EMILIANO ZAPATA,56600,CHALCO,ESTADO DE MÉXICO,15025090124,12-ago-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL"
FARMACIA CENARDIX S.A DE C.V.,FARMACIA,VIGILANTES LT 8,SANTA BÁRBARA,56538,IXTAPALUCA,ESTADO DE MÉXICO,15039090176,22-May-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINASS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA SILVIA,FARMACIA,"PASEO DE LAS PEÑAS MZ-37, LT-132",SAN BUENAVENTURA,56536,IXTAPALUCA,ESTADO DE MÉXICO,15039090173,18-Feb-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
FARMACIA SAN PABLO,FARMACIA,"BOULEVARD CUAUHTÉMOC MZ-19, LT-
19, No 615",SANTA BÁRBARA,´56538,IXTAPALUCA,ESTADO DE MÉXICO,15039090177,30-Jun-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO,FARMACIA,"BOULEVARD CUAUHTÉMOC No 1637, MZ-
2, LT-30",LA MAGDALENA ATLIPAC,56539,IXTAPALUCA,ESTADO DE MÉXICO,15039090178,16-dic-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA BENAVIDES,FARMACIA,BOULEVARD CUAUHTÉMOC  No 3,CENTRO,56530,IXTAPALUCA,ESTADO DE MÉXICO,15039090169,26-Mar-14,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. CUAUHTÉMOC No 43,CENTRO,56600,CHALCO,ESTADO DE MÉXICO,15025090123,07-May-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. CUAUHTÉMOC No 45-B,EJIDAL,56604,CHALCO,ESTADO DE MÉXICO,15025090122,07-May-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,BLV. SANBUENAVENTURA S/N,LA VENTA,56530,IXTAPALUCA,ESTADO DE MÉXICO,15039090175,11-May-15,"PSICOTRÓPICOS, VACUNAS, 
TOXOIDES,ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,CENTENARIO No 24,CENTRO,56530,IXTAPALUCA,ESTADO DE MÉXICO,15039090174,07-May-15,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA SOLUGLOB IKON S.A DE C.V.,FARMACIA,BOULEVARD CUAUHTÉMOC S/N,LA BOMBA,56600,CHALCO,ESTADO DE MÉXICO,15025090118,10-ene-14,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
NUEVA WALMART DE MÉXICO,FARMACIA,AV. CUAUHTÉMOC No 899,JACALONES,56604,CHALCO,ESTADO DE MÉXICO,15025090119,22-ene-14,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA ASIS,FARMACIA,AV. CUAUHTÉMOC No 15,CENTRO,56530,IXTAPALUCA,ESTADO DE MÉXICO,15039090170,09-Jul-14,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA ISSEMYM OZUMBA,BOTICA,FRAY BARTOLOMÉ DE LAS CASAS No 51,EL ARENAL,56800,OZUMBA,ESTADO DE MÉXICO,15068100022,24-Jul-14,"ESTUPEFACIENTES , PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
SOLUGLOB IKON S.A DE C.V.,FARMACIA,"K.M. 33.5 CARRETERA FEDERAL 
MÉXICO-PUEBLA S/N",ZOQUIAPAN,56530,IXTAPALUCA,ESTADO DE MÉXICO,15039090172,01-Sep-14,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
FARMACIA HOSPITAL MILITAR DE TEMAMATLA,FARMACIA,"CARR. TEMAMATLA-TENANGO DEL AIRE 
KM. 6.5",TEMAMATLA,56650,TEMAMATLA,ESTADO DE MÉXICO,15083090009,01-Sep-14,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL,  ANTITOXINAS 
DE ORIGEN ANIMAL"
FARMACIA MI BODEGA AURRERA,FARMACIA,AV. CUAUHTÉMOC No 600,EJIDAL,56604,CHALCO,ESTADO DE MÉXICO,15025090120,01-Sep-14,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL,  ANTITOXINAS 
DE ORIGEN ANIMAL"
FARMACIA EL PUENTE,FARMACIA,AV. CUAUHTÉMOC No 06,AYOTLA,56560,IXTAPALUCA,ESTADO DE MÉXICO,15039090171,28-ago-14,"ESTUPEFACIENTES, PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA ELITE S.A DE C.V.,FARMACIA,AV. CUAUHTÉMOC 6 BIS,CENTRO,56600,CHALCO,ESTADO DE MÉXICO,15025090121,08-dic-14,"ESTUPEFACIENTES, PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,FRAY MARTÍN DE VALENCIA S/N,CENTRO,56900,AMECAMECA,ESTADO DE MÉXICO,15009090034,14-Nov-13,"PSICOTRÓPICOS, VACUNAS, TOXOIDES,  
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,LOS HÉROES CHALCO S/N,LOS HÉROES CHALCO,56644,CHALCO,ESTADO DE MÉXICO,15025090117,14-Nov-13,"PSICOTRÓPICOS, VACUNAS, TOXOIDES,  
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,SAN ISIDRO 1,BARRIO LA CONCHITA,56600,CHALCO,ESTADO DE MÉXICO,15025090098,19-dic-12,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,REFORMA 226 B,CENTRO,56600,CHALCO,ESTADO DE MÉXICO,15025090097,19-dic-12,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL"
SOLUGLOB IKON S.A DE C.V.,FARMACIA,"CARRETERA FEDERAL MÉXICO-PEBLA 
KM. 34.5 S/N",ZOQUIAPAN,56530,IXTAPALUCA,ESTADO DE MÉXICO,15039090168,28-Nov-13,"ESTUPEFACIENTES, PSICOTRÓPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,CORONEL SILVESTRE LOPEZ No 10,CENTRO,56900,AMECAMECA,ESTADO DE MÉXICO,15009090033,01-Mar-13,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
FARMACIA CITY CLUB,FARMACIA,"CARRETERA FEDERAL MÉXICO-
CUAUTLA No 1",SANTA BÁRBARA,56538,IXTAPALUCA,ESTADO DE MÉXICO,15039090120,02-dic-05,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL Y HEMODERIVADOS"
CONTROLADORA DE FARMACIAS S.A.P..I. DE C.V.,FARMACIA,"PROLONGACIÓN VICENTE GUERRERO 
S/N, LOCALES 10 Y 11",BARRIO SANTIAGUITO,56600,CHALCO,ESTADO DE MÉXICO,15025090116,18-Oct-13,"PSICOTRÓPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL"
FARMACIA ISSEMYM CHALCO,BOTICA,SAN JUAN E INSURGENTES,CASCO DE SAN JUAN,56600,CHALCO,ESTADO DE MÉXICO,15025100115,20-May-13,PSICOTRÓPICOS
"FARMACIA DEL HOSPITAL MATERNO  INFANTIL CHALCO  “JOSEFA 
ORTIZ DE DOMINGUEZ”",FARMACIA,CARRETERA CHALCO AYOTZINGO S/N,SANTA CATARINA AYOTZINGO,,CHALCO,ESTADO DE MEXICO,15 025 10 0023,18/04/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
,,,,,,,,,
LOPEZ NAJERA YOLANDA,FARMACIA,AV. 16 DE SEPTIEMBRE No. 18,CENTRO,,NAUCALPAN DE J.,ESTADO DE MEXICO,15057090350,15-abr-16,"PSICOTROPICOS II, II BIOLOGICOS 
HEMODERIVADOS VACUNAS TOXOIDES"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. GUSTAVO BAZ 251,BOSQUE DE ECHEGARAY,,NAUCALPAN DE J.,ESTADO DE MEXICO,15057090349,15/04/16,"PISCOTROPICOS II, III, I, V, VI"
COMERCIAL CITY FRESKO SUC. SATELITE,FARMACIA,CIRCUITO MEDICOS No. 35,CD. SATELITE,,NAUCALPAN,ESTADO DE MEXICO,15057090343,21/10/15,"ESTUPEFACIENTES, PSICOTROPICOS II Y III 
BOLOGICOS VACUNAS OXOIDES SUEROS 
ANTIOXIDANTES HEMODERIVADOS"
COMERCIAL CITY FRESKO SUC. VALLARTA,FARMACIA,"CIRCUITO CIRCUNVALACION PTE. No. 
146",CD. SATELITE,,NAUCALPAN,ESTADO DE MEXICO,15057090344,21/10/15,"ESTUPEFACIENTES, PSICOTROPICOS II Y III 
BOLOGICOS VACUNAS OXOIDES SUEROS 
ANTIOXIDANTES HEMODERIVADOS"
NIEVES SOLANO IGNACIO,FARMACIA,AV. MEXICO No. 1,EL MIRADOR,,NAUCALPAN,ESTADO DE MEXICO,15057090345,03/11/15,"PSICOTROPICOS II Y III BIOLOGICOS 
VACUNAS TOXOIDES SUERO"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, SAPI DE C.V.",FARMACIA,AV. LOMAS VERDES No. 1200 L 70B,LOMAS VERDES,,NAUCALPAN,ESTADO DE MEXICO,15057090346,20/11/15,"PSICOTROPICOS II Y III BIOLOGICOS, 
HEMODERIVADOS, VACUNAS TOXOIDES"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, SAPI DE C.V.",FARMACIA,CIRCUITO ECONOMISTAS F-5,CD. SATELITE,,NAUCALPAN,ESTADO DE MEXICO,15057090347,01/12/15,"PSICOTROPICOS II Y III BIOLOGICOS, 
VACUNAS TOXOIDES ANTITOXINAS SUEROS 
DE ORIGEN ANIMAL"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, SAPI DE C.V.",FARMACIA,MANUEL E. IZAGUIRRE No. 35 LOC. B,CD. SATELITE,,NAUCALPAN,ESTADO DE MEXICO,15057090348,04/12/15,"PSICOTROPICOS II Y III BIOLOGICOS, 
VACUNAS TOXOIDES HEMODERIVADOS"
FARMACIA SAGRADO CORAZON DE JESUS,FARMACIA,CALZ. AHUIZOTLA No. 9,AHUIZOTLA,,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,15057090332,13/02/15,PSICOTROPICOS FRACCIONES II Y III
MAG MEDICAL AMBULATORY GROUP,FARMACIA,PAFNUNCIO PADILLA No. 43,CD. SATELITE,53100,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,15057090333,18/02/15,"ESTUPEFACIENTES FRACC. I, 
PSICOTROPICOS FRACC. II Y III, 
BIOLOGICOS, TOXOIDES, VACUNAS, 
ANTIBIOTICOS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
FARMACIA SAN PABLO SUCURSAL MOLINITO,FARMACIA,AV. SAN ESTEBAN No. 105-A,AMPLIACION SAN ESTEBAN,,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,15057090334,24/02/15,"PSICOTROPICOS FRACCIONES II Y III, 
BIOLOGICOS, TOXOIDES, VACUNAS, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
FARMACIA CLANICAADAR,FARMACIA,MANUEL E. IZAGUIRRE No. 2 DESP. 109,CD. SATELITE,53100,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,15057090335,11/03/15,"PSICOTROPICOS FRACC. II Y III, TOXOIDES 
HEMODERIVADOS"
FARMACIA BENAVIDES/SUC EDUCADORES,FARMACIA,"GABINO BARREDA No. 2 LOC. 3,4,5",CD. SATELITE,,NAUCALPAN,ESTADO DE MEXICO,1505709329,24/10/14,"ESTUPEFACIENTES PSICOTROPICOS 
FRACCIONES II Y III TOXOIDES, BIOLOGICOS 
Y HEMODERIVADOS"
MARIA DE LOS ANGELES PEDRAZA PEDRAZA,FARMACIA,AV. LOPEZ MATEOS 11,JARDINES DE SAN MATEO,,NAUCALPAN,ESTADO DE MEXICO,15057090328,02/10/14,PSICOTROPICOS FRACCIONES II Y III
UNIDAD DE ESPECIALIDADES MEDICAS (DROGUERIA),DROGUERIA,AV. INDUSTRIA MILITAR No. 1088,LOMAS DE SAN ISIDRO,,NAUCALPAN,ESTADO DE MEXICO,15 057 11 326,19-ago-14,"ESTUPEFACIENTES GRUPO I), 
(PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS,"
MARTINEZ ROCHA MARIA SALOME (FARMACIA “MORIN”),FARMACIA,CDA. CAÑADAS No. 39,LOS FRESNOS,,NAUCALPAN,ESTADO DE MEXICO,15 057 09 327,19/08/14,"PSICOTROPICOS FRACCIONES II,III,IV,V"
"TIENDAS CHEDRAUI, S.A. DE C.V.",FARMACIA,CALZ. SAN ESTEBAN No. 46,SAN ESTEBAN HUITZILACASCO,,NAUCALPAN,ESTADO DE MEXICO,15057090324,30/06/14,"PSICOTROPICOS II Y II, TOXOIDES, 
VACUNAS, SUEROS, ANTITOXINAS DE 
ORIGEN ANIMAL, BIOLOGICOS, 
HEMODERIVADOS"
FARMACIA DEL AHORRO,FARMACIA,AV. AILES No. 188,JARDINES DE SAN MATEO,53240,NAUCALPAN,ESTADO DE MEXICO,15 057 10 0304,19-Sep-12,"PSICOTROPICOS ESTUPEFACIENTES 
VACUNAS SUEROS TOXOIDES 
ANTITOXINASDE ORIGEN ANIMAL"
FARMACIA DEL AHORRO,FARMACIA,CALLE COLINA DE FRAILES NO66.,RESIDENCIAL BOULEVARES,53140,NAUCALPAN,ESTADO DE MEXICO,15 057 10 035,19-Sep-12,"PSICOTROPICOS ESTUPEFACIENTES 
VACUNAS SUEROS TOXOIDES 
ANTITOXINASDE ORIGEN ANIMAL"
"SANBORN´S S,A, DE C,V,",FARMACIA,AV. LOMAS VERDES No. 545,"FRACCIONAMIERNTO LOMAS 
VERDES",52120,NAUCALPAN,ESTADO DE MEXICO,15 057 10 036,21-Sep-12,"PSICOTROPICOS ESTUPEFACIENTES 
VACUNAS SUEROS TOXOIDES 
ANTITOXINASDE ORIGEN ANIMAL"
"PHARMA CLUB, S.A. DE C.V.",FARMACIA,"VENUSTIANO CARRANZA 4 LOC 6A 
CENTRO",CENTRO,53000,NAUCALPAN,ESTADO DE MEXICO,15057100311,11-Mar-13,"PSICOTROPICOS GRUPOS II Y III 
ESTUEPFACIENTES GRUPOS I VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
DE REHABILITACIÓN INFANTIL,FARMACIA,"VENUSTIANO CARRANZA 4 LOC 6A 
CENTRO",AV. SAN ESTEBAN S/N,,NAUCALPAN,ESTADO DE MEXICO,15057100312,02-May-13,"PSICOTROPICOS GRUPOS II Y III  TOXOIDES 
ANTITOXINAS VACUNAS HEMODERIVADOS 
SUEROS DE ORIGEN ANIMAL."
"SAVI DISTRIBUCIONES, S.A. DE C.V.",FARMACIA,AV. INDUSTRIA MILITAR No. 1088,LOMAS DE SAN ISIDRO,,NAUCALPAN,ESTADO DE MEXICO,15057090316,02-Jul-13,"PSICOTROPICOS GRUPOSI, II Y III, 
ESTUPEFACIENTES, BIOLOGICOS, 
TOXOIDES, VACUNAS, SUEROS, 
HEMODERIVADOS, ANTIBIOTICOS, 
HORMONAS"
"(UNIDAD MEDICA DE CONSULTA EXTERNA DE TECAMACHALCO, 
MEX.",FARMACIA,AV. INDUSTRIA MILITAR No. 1111,LOMASDE TECAMACHLACO,,NAUCALPAN,ESTADO DE MEXICO,15057090315,02-Jul-13,"PSICOTROPICOS GRUPOS I, II Y III, 
ESTUPEFACIENTES"
SANATORIO MARIA DEL ROSARIO,BOTICA,AV. SANTA CRUZ DEL MONTE No. 54,SANTA CRUZ DEL MONTE,,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,15057100322,04-abr-14,"ESTUPEFACIENTES. PSICOTROPICOS, 
GRUPOS I, II Y 1III"
FARMACIAS BENAVIDES/SUC. CD. BRISAS,FARMACIA,ARISTOTELES No. 2 LTE. 3,VISTA DEL VALLE ELECTRICISTAS,,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,15057090323,04-abr-14,"ALOPATICOS, GRUPOS I,II,III, 
TOXOIDES,BIOLOGICOS, HEMODERIVADOS."
FARMACIAS DEL AHORRO SUCURSAL RÍO HONDO,FARMACIA,AVENIDA PARQUE DE RÍO FRÍO NO. 113,EL PARQUE,,NAUCALPAN DE JUÁREZ,ESTADO DE MÉXICO,15 057 09 0357,25-Nov-16,"PSICOTROPICOS FRACCION II Y III, 
TOXOIDES, VACUNAS, HEMODERIVADOS, 
,SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL."
JURISDICCIÓN 12 ATIZAPAN DE ZARAGOZA,,,,,,,,,
SOLUGLOB IKON S.A DE C.V.,(FARMACIA) HOSPITAL G,UEAJDEARLCUIPTEO  VMICETXOICRAIAN OIS LEOMTE 11 S/N,EX HACIENDA DEL PEDREGAL,50020,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013150001,06-May-15,"ESTUPEFACIENTES, PSICOTROPICOS, 
TOXOIDES, VACUNAS, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA GUADALAJARA,FARMACIA,BOULEVARD DE LA HACIENDA S/N,LOMAS DE LA HACIENDA,52925,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013150002,,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS, SUEROS Y ANTIOXINAS DE 
ORIGEN ANIMAL"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V.",FARMACIA,AV. MIRLO MZ.29 LT.1,LAS ARBOLEDAS,52950,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013150003,07-Oct-15,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
HEMODERIVADOS, VACUNAS, SUEROS Y 
ANTIOXINAS DE ORIGEN ANIMAL"
PHARMA PLUS S.A. DE C.V.,FARMACIA SAN PABLO,AV. 16 DE SEPTIEMBRE NO.14,HIDALGO,54434,NICOLAS ROMERO,ESTADO DE MEXICO,15013150004,26-Oct-16,"ESTUPEFACIENTES, PSICOTROPICOS, 
TOXOIDES, VACUNAS, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V.",FARMACIA,"AV. JORGE JIMENEZ CANTU MZ.1 LT.1 
LOC. 34-35",BOSQUE ESMERALDA,52930,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013150006,17-dic-15,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS  Y HEMODERIVADOS"
COMERCIAL CITY FRESKO S DE R.L. DE C.V.,FARMACIA,CALZADA DE LOS JINETES NO.155,ARBOLEDAS,52950,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013150007,12-Oct-16,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS, SUEROS Y ANTIOXINAS DE 
ORIGEN ANIMAL"
COMERCIAL CITY FRESKO S DE R.L. DE C.V.,FARMACIA,AV. BOSQUES DE ARRAYAN NO.1,BOSQUE ESMERALDA,52930,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013150008,12-Nov-16,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS  Y HEMODERIVADOS"
,,"CARRETERA A TLALNEPANTLA NICOLAS 
ROMERO NO.242 MZ.4 LT.1",ADOLFO LOPEZ MATEOS,52910,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013160009,26-ene-16,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS, SUEROS Y ANTIOXINAS DE 
ORIGEN ANIMAL"
FARMACIAS DEL AHORRO,FARMACIA,"CARRETERA LAGO DE GUADALUPE 
MZ.129 LT.10 MODULO 1",SAN MATEO TECOLOAPAN,52929,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013160010,,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS, SUEROS Y ANTIOXINAS DE 
ORIGEN ANIMAL"
FARMACIAS DEL AHORRO,FARMACIA,"BOULEVARD BELLAVISTA  MZ.1 
LT.60,61,62,63",LOMAS DE BELLAVISTA,52994,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15013160011,27-Sep-16,"PSICOTROPICOS (GRUPO II Y II), TOXOIDES, 
VACUNAS, SUEROS Y ANTIOXINAS DE 
ORIGEN ANIMAL"
"BOTICA HOSPITAL MATERNO INFANTIL DE ATIZAPAN 
“GUADALUPE VICTORIA”",FARMACIA,EJERCITO MEXICANO LOTE. 11,EX. HACIENDA DEL PEDREGAL,,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15 013 10 0021,04/03/18,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
"FARMACIA DIMESA ""HOSPITAL MUNICIPAL SANTA CRUZ 
ATIZAPAN BICENTENARIO""",FARMACIA,CALLE ACUEDUCTO S/N,SANTA CRUZ ATIZAPÁN,,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,15 012 10 046,14/10/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
,,,,,,,,,
FARMACIA,FARMACIA,"XICOTENCATL 46 SECC. 
QUETZALCOATL",CIUDAD CUAUHTEMOC,55067,ECATEPEC,ESTADO DE MEXICO,15033090022,16-Jul-10,"PSICOTROPICOS, ESTUPEFACIENTES Y 
HEMPDERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,AV. ALFREDO DEL MAZO M-18 L-109,GRANJAS VALLE DE GUADALUPE,55270,ECATEPEC,ESTADO DE MEXICO,15033090017,30-abr-10,"PSICOTROPICOS, ESTUPEFACIENTES 
VACUNAS Y TOXOIDES"
FARMACIA ABC,FARMACIA,VIA MORELOS 485,SANTA CLARA,55540,ECATEPEC,ESTADO DE MEXICO,15033090016,03-Feb-10,"PSICOTROPICOS, ESTUPEFACIENTES 
VACUNAS Y TOXOIDES"
FARMACIA,FARMACIA,AV. JOSE LOPEZ BONAGA 26,SAN LORENZO TETLIXTAC,55714,COACALCO,ESTADO DE MEXICO,15033090018,16-Jun-10,PSICOTROPICOS
FARMACIA SAN JOSE,FARMACIA,CERRADA DE BENITO JUAREZ M-3 L-1,HANK GONZALEZ,55520,ECATEPEC,ESTADO DE MEXICO,15033090026,10-Sep-10,PSICOTROPICOS Y ESTUPEFACIENTES
BOTICA JOSE MARIA MORELOS Y PAVON,BOTICA,AV. DEL TRABAJO S/N,EL CARMEN,55000,ECATEPEC,ESTADO DE MEXICO,15033090028,11-May-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
TOXOIDES, ANTITOXINAS DE ORIGEN 
ANIMAL, VACUNAS"
INTERFARM STA. MONICA,FARMACIA,JUAREZ NTE No.7,SAN CRISTOBAL CENTRO,55000,ECATEPEC,ESTADO DE MEXICO,15033090001,15-Nov-00,"PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
