"FARMACIA GUADALAJARA SUC. 
VENTURA.",FARMACIA,"REFROMA #191 E/VENTURA G. TENA 
Y OTHON ALMADA.",BALDERRAMA.,83180,HERMOSILLO,SONORA,26-030-09-0546,03-may.-16,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA GUADALAJARA SUC. 
PROGRESO.",FARMACIA,"AVE. JUAN  BAUTISTA 
ESCALANTE #112 Y 
GENERAL JOSE 
MARIA YAÑEZ.",ALTO VALLE.,83106,HERMOSILLO,SONORA,26-030-09-0535,05-abr.-16,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA GALENO.,DROGUERIA,VERACRUZ #70 ESQ. FELIX SORIA.,SAN BENITO.,83190,HERMOSILLO,SONORA,26-030-11-0005,08-abr.-15,"PREPARACIONES MAGISTRALES Y FRACCION IV, V, VI."
"BOTICA DEL HOSPITAL INFANTIL 
DEL ESTADO",BOTICA,"REFORMA #355 E/AVE. OCHO Y AVE. 
ONCE.",LEY 57.,83100,HERMOSILLO,SONORA,26-030-10-0036,02-feb.-16,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HERMODERIVADOS."
"DE SONORA.
BOTICA DEL HOSPITAL 
HERMOSILLO.",BOTICA,LUIS DONALDO COLOSIO #42.,CENTRO.,83000,HERMOSILLO,SONORA,26-030-10-0005,05-nov.-01,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL."
"BOTICA HOSPITAL 
PRIVADO 
DE 
HERMOSILLO.",BOTICA,"PASEO RIO SAN MIGUEL#35, 
PROYECTO RIO SONORA.",HERMOSILLO.,83280,HERMOSILLO,SONORA,26-030-10-0010,09-ene.-02,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"CLINICA DE MEDICINA FAMILIAR ""A"" 
ISSSTE HERMOSILLO.",FARMACIA,"BLVD. MORELOS FINAL S/N Y AVE. 
CUATRO.",BUGAMBILIAS.,83140,HERMOSILLO,SONORA,26-030-09-0080,07-ago.-02,PSICOTÒPICOS (GRUPO II Y III).
BOTICA ISSSTE.,BOTICA,"BLVD. MORELOS Y JESUS SIQUEIROS 
S/N.",LOMA LINDA.,83150,HERMOSILLO,SONORA,26-030-10-0009,09-ene.-02,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III)."
"BOTICA NO. 2 HERMOSILLO 
ISSSTESON.",BOTICA,"MATAMOROS Y AGUASCALIENTES 
S/N.",MODELO.,83190,HERMOSILLO,SONORA,26-030-10-0027,10-feb.-11,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA DE LA UMF #37 DEL I.M.S.S.,BOTICA,"PEDRO MORENO 
#14 ESQ. MANUEL Z. CUBILLAS.",LAS PALMAS.,83000,HERMOSILLO,SONORA,26-030-10-0025,10-sep.-10,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA URBANA No. 1.,BOTICA,"LUIS DONALDO COLOSIO MURRIETA 
Y JUAREZ.",CENTRO.,83000,HERMOSILLO,SONORA,26-030-10-0002,19-oct.-01,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"BOTICA DE HOSPITALIZACION DEL 
HOSPITAL IGNACIO 
CHAVEZ.",BOTICA,JUAREZ Y AGUASCALIENTES S/N .,MODELO.,83100,HERMOSILLO,SONORA,26-030-10-0001,15-oct.-01,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES."
"BOTICA DEL HOSPITAL GENERAL 
DE ZONA NO.14.",BOTICA,"AVE. TECNOLOGICO Y REPUBLICA DE 
CUBA,",MIRASOLES.,83000,HERMOSILLO,SONORA,26-030-10-0033,24-sep.-13,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"CLINICA DE MEDICINA FAMILIAR 
HERMOSILLO (I.S.S.S.T.E.)",FARMACIA,"BLVD. MORELOS FINAL S/N E/AVE. 
CUATRO Y AVE. SIETE.",BUGAMBILIAS.,83140,HERMOSILLO,SONORA,26-030-09-0343,15-jul.-09,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
ISSSTEFARMACIA NO.048.,FARMACIA,BLVD. MORELOS NO. 16.,CONSTITUCION.,83150,HERMOSILLO,SONORA,26-030-09-0100,29-jul.-03,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO SUC. QUIROGA II.,FARMACIA,"ANTONIO QUIROGA #279 LOCAL-1
PLAZA COMERCIAL
TURQUEZA.",DUNAS.,83179,HERMOSILLO,SONORA,26-030-09-0525,26-may.-15,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA KINO SUC. VILLA DE 
SERIS.",FARMACIA,"BLVD. VILDOSOLA 
ESQ. 
CON 
ZARAGOZA #2 L-A Y B.",VILLA DE SERIS.,83280,HERMOSILLO,SONORA,26-030-09-0247,15-abr.-08,"TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO SUC. PERIMETRAL.,FARMACIA,"PERIMETRAL #101-A Y JUAN JOSE 
AGUIRRE.",LOS ROSALES.,83140,HERMOSILLO,SONORA,26-030-09-0362,01-jun.-10,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL."
FARMACIA KINO SUC. SANTAFE.,FARMACIA,"BLVD. NAVARRETE 
#350-1.",SANTA FE.,83249,HERMOSILLO,SONORA,26-030-09-0006,31-oct.-01,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
"FARMACIA KINO S.A. SUC. PALO 
VERDE.",FARMACIA,"BLVD. SOLIDARIDAD 
#30-A ESQ.
FRANCISCO VILLA.",PALO VERDE.,83280,HERMOSILLO,SONORA,26-030-09-0411,18-abr.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA KINO SUC. NAVARRETE.,FARMACIA,"BLVD. NAVARRETE 
#197-H.",VILLA SATELITE.,83200,HERMOSILLO,SONORA,26-030-09-0073,09-jul.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
FARMACIA KINO S.A.,FARMACIA,BLVD. VILDOSOLA #304-C.,"PEDREGAL
 DE LA VILLA.",83290,HERMOSILLO,SONORA,26-030-09-0097,15-jul.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIA KINO SUC. VILLA 
BONITA.",FARMACIA,"BLVD. VILLA BONITA 
#272-B E/TORRETTA
Y
RETORNO MESSINA.","VILLA RESIDENCIAL 
BONITA.",83288,HERMOSILLO,SONORA,26-030-09-0558,22-jul.-16,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA KINO SUC. LOMA LINDA.,FARMACIA,"IGNACIO SOTO #47 A 
E/JUAN JOSE RIOS Y
JUAN GARCIA CABRAL.",PERIODISTA.,83156,HERMOSILLO,SONORA,26-030-09-0522,18-mar.-15,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL."
FARMACIA KINO S.A.,FARMACIA,"MONTERREY ESQ. CONGUERRERO 
CENTRO COMERCIAL
""EL PARIAN"".",CENTRO.,83270,HERMOSILLO,SONORA,26-030-09-0083,22-oct.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA KINO SUC. PLAZA 
PERINORTE.",FARMACIA,"PERIFERICO NTE. #422-A ESQ. CON 
GANDARA.",LUIS ENCINAS.,83138,HERMOSILLO,SONORA,26-030-09-0175,13-nov.-06,"TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA KINO SUC. VILLA DE 
PARRAS.",FARMACIA,"BLVD. COLOSIO #785 LOC. 24 Y 25 
CASI ESQ. 
QUINTERO ARCE.",VILLA DE PARRAS.,83244,HERMOSILLO,SONORA,26-030-09-0494,13-mar.-13,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA KINO SUC. 
CONSTITUCION.",FARMACIA,"BLVD. MORELOS #15-2
ESQ. JOSE MARIA MATA",CONSTITUCION.,83200,HERMOSILLO,SONORA,26-030-09-0044,16-ene.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
FARMACIA KINO S.A.,FARMACIA,REFORMA 308 E/AVE. SIETE Y OCHO.,JESUS GARCIA.,83100,HERMOSILLO,SONORA,26-030-09-0126,02-jun.-04,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA KINO SUC. 
MATAMOROS.",FARMACIA,"MATAMOROS #85 SUR
E/COLOSIO 
Y DR. NORIEGA.",CENTRO.,83000,HERMOSILLO,SONORA,26-030-09-0208,18-may.-07,"PSICOTRÒPICOS (GRUPO II Y III), TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA KINO SUC. 
LAZARO CARDENAS.",FARMACIA,"BLVD. LAZARO 
CARDENAS 
#396 
ESQ. CON 
PRIVADA 
GANDARA.",LAS TORRES.,83139,HERMOSILLO,SONORA,26-030-09-0226,14-ago.-07,"TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO.,FARMACIA,"BLVD. SOLIDARIDAD 
#391-4 ESQ. CON CALLE IGNACIO 
SALAZAR.",LIBERTAD.,83129,HERMOSILLO,SONORA,26-030-09-0145,14-sep.-04,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO SUC. GANADEROS.,FARMACIA,"BLVD. DE LOS GANADEROS #984 LOC-
A.",LAS LOMAS.,83293,HERMOSILLO,SONORA,26-030-09-0350,14-sep.-09,"TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO S.A.,FARMACIA,"BLVD. LUIS DONALDO COLOSIO #707-
B.","SEMINARIO 
RESIDENCIAL.",83240,HERMOSILLO,SONORA,26-030-09-0167,04-abr.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA KINO SUC. 
MONTEVERDE.",FARMACIA,"MONTEVERDE #105-B 
ESQ.
CON QUINTANA ROO.",HERMOSILLO.,83190,HERMOSILLO,SONORA,26-030-09-0043,16-ene.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO SUC. MORELOS.,FARMACIA,"BLVD. MORELOS #271 Y 
PROLONGACIÒN 
ALFREDO EGUIARTE.",LOMA LINDA.,83150,HERMOSILLO,SONORA,26-030-09-0045,16-ene.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIA KINO S.A. SUC. CAMINO 
REAL.",FARMACIA,"AVE. LOS YAQUIS #1306 
ESQ. 
CARLOS BALDERRAMA.",CAMINO REAL.,N/C.,HERMOSILLO,SONORA,26-030-09-0186,12-feb.-07,"TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA KINO SUC.VALLE DE 
LAGO.",FARMACIA,"VILLA HERMOSA #3 ESQ. REAL DEL 
ARCO.",VALLE DE LAGO.,83240,HERMOSILLO,SONORA,26-030-09-0492,24-ene.-13,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO S.A.,FARMACIA,"BLVD. GARCIA MORALES 471-D ESQ. 
LAZARO MERCADO.",LA MANGA.,83170,HERMOSILLO,SONORA,26-030-09-0122,12-may.-04,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA KINO SUC. LA PALOMA.,FARMACIA,"BLVD. JOSE MA. MORELOS #1C E/VIA 
PALOMAR Y PASEO LA CASTAÑA.",LA PALOMA.,83104,HERMOSILLO,SONORA,26-030-09-0545,03-may.-16,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXNIAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA LOS VIÑEDOS.,FARMACIA,VENUSTIANO CARRANZA #655.,VIÑEDOS.,83127,HERMOSILLO,SONORA,26-030-09-0149,26-ene.-05,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXNIAS DE ORIGEN ANIMAL."
FARMACIA LOS ARCOS.,FARMACIA,"HERNANDO DE SOTO #2 ESQ. CON 
OLIVARES.",LOS ARCOS.,83250,HERMOSILLO,SONORA,26-030-09-0011,14-nov.-01,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
FARMACIA LA PAZ.,FARMACIA,"GASTON MADRID #111 
E/
REYES Y CUERNAVACA.",SAN BENITO.,83190,HERMOSILLO,SONORA,26-030-09-0521,09-ene.-15,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL,
 HEMODERIVADOS."
MFARMACOS.,FARMACIA,"BLVD. HIDALGO #344-A E/
PERIFERICO PONIENTE Y PUESTA 
DEL SOL.",PALMAR DEL SOL.,83250,HERMOSILLO,SONORA,26-030-09-0550,30-may.-16,"ESTUPEFACIENTES (GRUPO I), 
PSICOTRÒPICOS (GRUPO II y III), 
VACUNAS, TOXOIDES,"
FARMACIA MARGARITA.,FARMACIA,PUEBLA #28 ESQ. Y MATAMOROS.,CENTRO.,83000,HERMOSILLO,SONORA,26-030-09-0156,30-jul.-05,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL,"
"FARMACIA MARGARITA 24 HORAS 
SUC. 
PLAZA PABELLON.",FARMACIA,"AVE. DE LA REFORMA #81 LOC-H3, 
PLAZA PABELLON.","PROYECTO RIO 
SONORA.",83280,HERMOSILLO,SONORA,26-030-09-0530,23-dic.-15,"HEMODERIVADOS.
ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,  HEMODERIVADOS."
"FARMACIA MARGARITA 24 HORAS 
SUC. COLOSIO.",FARMACIA,"PERIFERICO 
PONIENTE #229 
ESQ.",DE ANZA.,83248.,HERMOSILLO,SONORA,26-030-09-0520,19-dic.-14,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,  HEMODERIVADOS."
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA MEDICA NORTE.,FARMACIA,"BLVD. SOLIDARIDAD #574 E/JUAN DE 
LA GRANJA","MARTIRES DE 
CANANEA.",83110,HERMOSILLO,SONORA,26-030-09-0224,27-jul.-07,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,  HEMODERIVADOS."
FARMACIA MARGARITA 24 HORAS.,DROGUERIA,"Y LUCAS ALAMAN.
PLUTARCO ELIAS CALLES  #101-B E/
GARMENDIA Y YAÑEZ.",CENTRO.,83000,HERMOSILLO,SONORA,26-030-11-0004,01-dic.-11,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE  ORIGEN ANIMAL,  ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"MERCADO DE LA SALUD SUC. 
GUERRERO.",FARMACIA,"GUERRERO #126-B E/MONTERREY Y 
MORELIA.",CENTRO NORTE.,83000,HERMOSILLO,SONORA,26-030-09-0534,11-mar.-16,"VACUNAS, TOXOIDES, SUEEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMANORTE SUC. SEGURO 
SOCIAL.",FARMACIA,"CALLE JUAREZ #208 LOC-3 ESQ. AVE. 
JUSTO SIERRA.",MODELO.,83190,HERMOSILLO,SONORA,26-030-09-0554,20-jun.-16,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS  DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SAM`S CLUB.,FARMACIA,"REFORMA FINAL Y PASEO RIO 
SONORA. S/N.","PROYECTO RIO 
SONORA.",83289,HERMOSILLO,SONORA,26-030-09-0118,24-mar.-04,"PSICOTRÒPICOS (GRUPO II Y III),  VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIA SAM`S CLUB SUC. 
MORELOS.",FARMACIA,"BLVD. JOSE MARIA MORELOS S/N 
E/SANTA CECILIA Y GILBERTO.",COLINA BLANCA.,83148,HERMOSILLO,SONORA,26-030-09-0412,14-jul.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS  DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA TIENDAS SORIANA SUC. 
QUIROGA.",FARMACIA,"BLVD. DR. ANTONIO QUIROGA #213 Y 
AVE. DE LOS YAQUIS.",NUEVA PALMIRA.,83170,HERMOSILLO,SONORA,26-030-09-0370,29-oct.-10,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SAN FERNANDO.,FARMACIA,JOSE MARIA MENDOZA #283.,BALDERRAMA.,831380,HERMOSILLO,SONORA,26-030-09-0106,15-sep.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIA SANTAFE SUC. 
SAHUARO.",FARMACIA,"BLVD. SOLIDARIDAD #793 ESQ. 
MENDOZA.",SAHUARO.,83170,HERMOSILLO,SONORA,26-030-09-0446,07-ago.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA MARGARITA 24 HORAS 
SUC. JUAREZ.",FARMACIA,"JUAREZ #55-A 
E/BLVD. LUIS 
D. COLOSIO Y 
DR. NORIEGA.",CENTRO.,83000,HERMOSILLO,SONORA,26-030-09-0490,18-dic.-12,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,  HEMODERIVADOS."
"FARMACIA SANTAFE SUC. PLAZA 
MISION.",FARMACIA,"BLVD. LOPEZ PORTILLO #68 E/CALLE 
DOS Y TRES.",MISION DEL SOL.,83100,HERMOSILLO,SONORA,26-030-09-0445,07-ago.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
COLOSIO.",FARMACIA,"BLVD. LUIS ENCINAS #388 LOC-3 
E/UNIVERSIDAD Y MANUEL R. 
BOBADILLA.",EL COLOSO.,83040,HERMOSILLO,SONORA,26-030-09-0453,10-sep.-12,"PSICOTRÒPICOS (GRUPO II Y III),  VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SAN JOSE DE 
HERMOSILLO.",FARMACIA,"BLVD. MORELOS #340 INT. HOSPITAL 
E/LOPEZ PORTILLO Y AVE. 7.",BACHOCO.,83148,HERMOSILLO,SONORA,26-030-09-0493,05-feb.-13,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
SEMINARIO.",FARMACIA,"BLVD. LUIS DONALDO COLOSIO S/N  
LOC-12 ESQ. CARLOS QUINTERO 
ARCE.",VILLA DE PARRAS.,83224,HERMOSILLO,SONORA,26-030-09-0439,02-ago.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. VILLA 
BONITA.",FARMACIA,"BLVD. CARLOS QUINTERO ARCE #33 
LOCAL-B ESQ. RETORNO VERNAZA.","VILLA RESIDENCIAL 
BONITA.",83288,HERMOSILLO,SONORA,26-030-09-0462,20-sep.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
BUGAMBILIAS.",FARMACIA,"AVE. JUAREZ #342 LOC-6 ESQ. 
EDUARDO W. VILLA.",BUGAMBILIAS.,83140,HERMOSILLO,SONORA,26-030-09-0455,11-sep.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL,  
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SANTAFE SUC. PIÑA.,FARMACIA,"PERIFERICO NORTE #315 ESQ. 
GENERAL PIÑA, INTERIOR TIENDA.",JESUS GARCIA.,83140,HERMOSILLO,SONORA,26-030-09-0524,09-abr.-15,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
REBEICO.",FARMACIA,"REBEICO #346 ESQ. FRANCISCO 
MONTEVERDE.",JACINTO LOPEZ.,83105,HERMOSILLO,SONORA,26-030-09-0467,18-oct.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. PLAZA 
HIPICA.",FARMACIA,"LUIS D. COLOSIO #896 PLAZA HIPICA 
LOC-1 E/QUIROGA Y CJON. CHANATE.",CORCELES.,83243,HERMOSILLO,SONORA,26-030-09-0488,06-dic.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SANTAFE SUC. PITIC.,FARMACIA,"BLVD. EUSEBIO KIO S/N ESQ. GOMEZ 
FARIA.",PITIC.,83150,HERMOSILLO,SONORA,26-030-09-0456,11-sep.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. IGNACIO 
SALAZAR.",FARMACIA,"BLVD. IGNACIO SALAZAR #1238 LOC-
A ESQ. REPUBLICA DE PANAMA.",ALVARO OBREGON.,83170,HERMOSILLO,SONORA,26-030-09-0441,03-ago.-12,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
