ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIA DEL HOSPITAL RURAL S 
No.30",FARMACIA,CALZADA LAS CANOAS No.800,BARRIO LAS CANOAS,30900,MOTOZINTLA,CHIAPAS,07057090001,06/05/2013,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MOTOZINTLA",FARMACIA,"1a. CALLE ORIENTE No. 315, CENTRO",CENTRO,30900,MOTOZINTLA,CHIAPAS,07057090002,10/06/2011,"II, III"
"FARMACIA MI BODEGA AURRERA 
MOTOZINTLA DE MENDOZA",FARMACIA,CALZADA DE LAS CANOAS No.650,,30900,MOTOZINTLA,CHIAPAS,07057090003,31/01/2012,"II, III, VACUNAS Y TOXOIDES"
"FARMACIAS ESQUIVAR, SUCURSAL 
MOTOZINTLA CENTRO",FARMACIA,AVENIDA CUARTA SUR No. 1,COL. CENTRO,30900,MOTOZINTLA,CHIAPAS,07057090005,30/09/2015,"I, II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA CRUZ BLANCA VTA. DE 
MED. DE PATENTE, G.I.",FARMACIA,"1a. ORIENTE Y 2a. SUR S/N, CENTRO",CENTRO,,OCOSINGO,CHIAPAS,07059090001,18/02/2002,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA 
CENTRO DE SALUD URBANO",FARMACIA,"AV. CENTRAL JUAREZ No.16, CENTRO",CENTRO,,OCOSINGO,CHIAPAS,07059090002,15/03/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
OCOSINGO",FARMACIA,"1a. ORIENTE SUR S/N, CENTRO",CENTRO,29030,OCOSINGO,CHIAPAS,07059090004,23/07/2003,"II, III"
"FARMACIA DEL HOSPITAL RURAL ""O"" 
No.32",FARMACIA,"CARRETERA A RIO JATATE Y CAMINO 
A BETANIA S/N",BARRIO NUEVO,29950,OCOSINGO,CHIAPAS,07059090005,28/06/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD RURAL PATIHUIZ",FARMACIA,"DOMICILIO CONOCIDO S/N, 
PATIHUITZ",,,OCOSINGO,CHIAPAS,07059090007,01/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA NUEVA MORELIA,FARMACIA,"DOMICILIO CONOCIDO S/N, NUEVA 
MORELIA",,,OCOSINGO,CHIAPAS,07059090008,15/11/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
CHAVARICO LAS PALMAS",FARMACIA,"DOMICILIO CONOCIDO S/N, 
CHAVARICO LAS PALMAS",,,OCOSINGO,CHIAPAS,07059090009,09/12/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
CONGREGACION VIRGINIA",FARMACIA,CONGREGACION VIRGINIA S/N,,,OCOSINGO,CHIAPAS,07059090010,31/01/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
ISSTECH OCOSINGO",FARMACIA,"1a. ORIENTE NORTE S/N, BARRIO 
CENTRO",CENTRO,,OCOSINGO,CHIAPAS,07059090012,24/08/2006,"II, III, VACUNAS Y TOXOIDES"
FARMACIA ISSTECH,FARMACIA,1a. CALLE ORIENTE NORTE S/N,,,OCOSINGO,CHIAPAS,07059090013,03/04/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
OCOSINGO",FARMACIA,"PERIFERICO SUR No.2, SAUZAL",,,OCOSINGO,CHIAPAS,07059090016,20/10/2009,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUC. 
PERIFERICO SUR",FARMACIA,"PERIFERICO SUR S/N,",CANDELARIA,29950,OCOSINGO,CHIAPAS,07059090017,16/11/2010,"II, III"
"FARMACIA SORIANA EXPRESS 
OCOSINGO",FARMACIA,PERIFERICO NORTE ORIENTE No.9,FRACC. EL HERRADERO 1,29950,OCOSINGO,CHIAPAS,07059090021,29/07/2013,"II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO OCOSINGO",FARMACIA,"INT. DEL HOSP. BASICO COMUN. 
OCOSINGO, CARR. OCOSINGO-
TONINA S/N, BARRIO TONINA",BARRIO TONINA,29950,OCOSINGO,CHIAPAS,07059090022,27/08/2013,"I, II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO SANTO 
DOMINGO",FARMACIA,"INTERIOR DEL HOSPITAL BASICO 
COMUNITARIO SANTO DOMINGO 
SALIDA DEL PUEBLO SANTO 
DOMINGO","SALIDA DEL PUEBLO 
SANTO DOMINGO",29950,OCOSINGO,CHIAPAS,07059090024,27/02/2015,"I, II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR,FARMACIA,"7a. NORTE ENTRE 4a. Y 5a. 
PONIENTE S/N CARRETERA 
PANAMERICANA",,,OCOZOCOAUTLA,CHIAPAS,07061090003,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL HOSPITAL 
RURAL ""O"" OCOZOCOAUTLA",FARMACIA,"CARRETERA VILLAFLORES 
ENTRONQUE LIBRAMIENTO SUR S/N",,,OCOZOCOAUTLA,CHIAPAS,07061090004,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS DEL SUR,FARMACIA,"2a. NORTE PONIENTE No.2, CENTRO",,,OCOZOCOAUTLA,CHIAPAS,07061090005,27/02/1995,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
OCOZOCOAUTLA",FARMACIA,"AV. CENTRAL ESQUINA 3a. ORIENTE 
SUR S/N",BARRIO SAN ANTONIO,29140,OCOZOCOAUTLA,CHIAPAS,07061090006,20/08/2015,"II, III"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE SA DE CV",FARMACIA,CALLE 1A. ORIENTE S/N,COL. CENTRO,29140,OCOZOCOAUTLA,CHIAPAS,07061090009,10/03/2017,"II, III, VACUNAS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.42",FARMACIA,"DOMICILIO CONOCIDO S/N, PEÑITAS",,,OSTUACAN,CHIAPAS,07062090001,07/01/2003,S/L
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.42",FARMACIA,"DOMICILIO CONOCIDO S/N, PEÑITAS",,,OSTUACAN,CHIAPAS,07062090002,03/04/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
CENTRO DE SALUD OSTUACAN",FARMACIA,"CALLE BELISARIO DOMINGUEZ S/N, 
CENTRO",CENTRO,,OSTUACAN,CHIAPAS,07062090003,22/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA JENNER,FARMACIA,"HIDALGO No.2, CENTRO",,,OSTUACAN,CHIAPAS,07062090004,25/11/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO OSTUACAN",FARMACIA,"INT. DEL H.B.C. OSTUACAN, CENTRAL 
AV. BENITO JUAREZ S/N CENTRO",COL. CENTRO,39550,OSTUACAN,CHIAPAS,07062090006,27/02/2014,"I, II, III, VACUNAS TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.45",FARMACIA,"CALLE NUEVO MEXICO ESQ. 12 DE 
OCTUBRE S/N",COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090001,18/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL PALENQUE",FARMACIA,"AV. JUAREZ No.20, CENTRO",CENTRO,29960,PALENQUE,CHIAPAS,07065090002,21/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA LASTRA,FARMACIA,"AVENIDA JUAREZ No.44, CENTRO",COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090003,23/07/2003,"I, II, III"
FARMACIA ALOPATICA ISSTECH,FARMACIA,"PERIFERICO ORIENTE Y CAMINO AL 
EJIDO FRANCISCO VILLA S/N,",LOS OLVIDADOS,,PALENQUE,CHIAPAS,07065090005,13/08/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR MODULO RESOLUTIVO 2",FARMACIA,"CALLE MARIO MORONES ESQ. REYES 
HEROES S/N,",COL. NANDIUME,,PALENQUE,CHIAPAS,07065090007,19/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MERCADO PALENQUE",FARMACIA,"AV. DOCTOR MANUEL VELASCO 
SUAREZ S/N, CENTRO",CENTRO,,PALENQUE,CHIAPAS,07065090008,01/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA DE DESCUENTO UNION,FARMACIA,AV. HIDALGO No.43,COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090010,24/06/2008,"II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS DE DESCUENTO UNION,FARMACIA,"AV. JUAREZ S/N,",COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090011,18/04/2008,"II, III"
FARMACIAS DE DESCUENTO UNION,FARMACIA,"AV. DR. MANUEL VELASCO SUAREZ 
S/N",COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090013,02/07/2008,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA 
SARAGUATO",FARMACIA,"AV. 12 DE OCTUBRE No.59, NUEVA 
ESPERANZA",,,PALENQUE,CHIAPAS,07065090016,10/11/2009,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS SIMILARES YIREH,FARMACIA,"AV. HIDALGO No. 87, CENTRO",CENTRO,29960,PALENQUE,CHIAPAS,07065090019,17/08/2011,"II, III"
FARMACIA DE DESCUENTO UNION,FARMACIA,"AV. CALZADA DE LAZARO CARDENAS 
S/N",COL. PAKAL-NA,29960,PALENQUE,CHIAPAS,07065090020,10/11/2011,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"COMERCIALIZADORA GRUPO 
IMPULSOR EMPRESARIALES 
INTERDISCIPLINARIO S.A. DE C.V.",FARMACIA,CALZADA LAZARO CARDENAS No.1,MONTERREY,29960,PALENQUE,CHIAPAS,07065090022,08/02/2013,"II, III Y VACUNAS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HG PALENQUE",FARMACIA,"INT. DEL HG PALENQUE, AV. 
PROLONGACION DE JUAREZ S/N",,29960,PALENQUE,CHIAPAS,07065090023,06/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
GENERAL PALENQUE",FARMACIA,"INTERIOR DEL HOSPITAL GENERAL 
PALENQUE AVENIDA JUAREZ S/N, 
COL. CENTRO",COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090026,12/01/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES, VACUNAS Y 
PREPARACIONES BACTERIANAS DE USO PARENTERAL"
"FARMACIA DEL AHORRO SUCURSAL 
PALENQUE",FARMACIA,"AV. JUAREZ ESQUINA ABASOLO S/N, 
COL. CENTRO",COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090027,30/03/2015,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, Y/O HEMODERIVADOS"
"FARMACIA DISUR DE LA CLINICA 
HOSPITAL PALENQUE",FARMACIA,FRANCISCO VILLA S/N,BARRIO LOS OLVIDADOS,29960,PALENQUE,CHIAPAS,07065090028,04/08/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
TIENDAS CHEDAUI SA DE CV,FARMACIA,"CARRETERA PALENQUE PAKALNA 
No. 84",COL. YULIJA,29960,PALENQUE,CHIAPAS,07065090030,04/04/2016,"II, III"
FARMACIA YZA PALENQUE MERCADO,FARMACIA,"PROLONGACION MANUEL VELAZCO 
SUARES",,29960,PALENQUE,CHIAPAS,07065090031,15/12/2016,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA YZA PALENQUE CENTRO,FARMACIA,AVENIDA JUAREZ S/N,COL. CENTRO,29960,PALENQUE,CHIAPAS,07065090033,21/07/2017,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"AVENIDA 20 DE NOVIEMBRE No. 47, 
COLONIA CENTRO, PALENQUE, 
CHIAPAS.",CENTRO,29960,PALENQUE,CHIAPAS,07065090034,04/07/2018,"PSICOTRÓPICOS FRACCIÓN II Y III, SUEROS, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y/O 
HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.43",FARMACIA,"KM.1 CARRETERA PICHUCALCO- 
TEAPA S/N",,,PICHUCALCO,CHIAPAS,07068090001,11/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA KIMBERLY,FARMACIA,"AV. PONCIANO ROJAS S/N,",FRACC. LAS PALMERAS,,PICHUCALCO,CHIAPAS,07068090002,18/03/2002,"II, III"
FARMACIA DE DESCUENTO UNION,FARMACIA,"AURORA ZARAGOZA S/N, CENTRO",CENTRO,,PICHUCALCO,CHIAPAS,07068090003,22/03/2004,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE DESCUENTO UNION,FARMACIA,"AURORA ZARAGOZA S/N, CENTRO",CENTRO,,PICHUCALCO,CHIAPAS,07068090004,22/03/2004,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA CLINICA HOSPITAL 
ISSTECH PICHUCALCO",FARMACIA,"CARRETERA PICHUCALCO TEAPA 
KM.1",CENTRO,,PICHUCALCO,CHIAPAS,07068090005,29/06/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA EL ANGEL,FARMACIA,"FRANCISCO CONTRERAS No.08, 
CENTRO",CENTRO,,PICHUCALCO,CHIAPAS,07068090006,08/07/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL PICHUCALCO",FARMACIA,"BELISARIO DOMINGUEZ S/N, 
CENTRO",CENTRO,,PICHUCALCO,CHIAPAS,07068090007,23/07/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL PICHUCALCO",FARMACIA,"BELISARIO DOMINGUEZ S/N, 
CENTRO",CENTRO,,PICHUCALCO,CHIAPAS,07068090008,22/02/2005,S/L
FARMACIA EL FENIX PICHUCALCO 1,FARMACIA,"AV. PONCIANO ROJAS S/N, CENTRO",CENTRO,,PICHUCALCO,CHIAPAS,07068090010,10/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE PICHUCALCO,FARMACIA,"AV. PONCIANO ROJAS S/N,",FRACC. LAS PALMERAS,,PICHUCALCO,CHIAPAS,07068090011,14/12/2009,"I, II, III"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
GENERAL PICHUCALCO",FARMACIA,"INT. DEL HOSP. GRAL. PICHUCALCO, 
AV. PONCIANO ROJAS S/N, LAS 
PALMERAS",COL. LAS PALMERAS,29520,PICHUCALCO,CHIAPAS,07068090015,26/02/2014,"I, II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DE ESPECIALIDADES EL 
SEÑOR DE LA SALUD",FARMACIA,"ANDRES SERRA ROJAS No.5 COL. LAS 
RANAS",LAS RANAS,29520,PICHUCALCO,CHIAPAS,07068090017,19/03/2014,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS SORIANA S.A. DE C.V. 
(SORIANA EXPRESS PICHUCALCO)",FARMACIA,"BOULEVARD IGNACIO ZARAGOZA 
No. 234, COL. LOMAS DE 
PICHUCALCO","COL. LOMAS DE 
PICHUCALCO",29520,PICHUCALCO,CHIAPAS,07068090018,28/11/2014,"II, III, VACUNAS TOXOIDES Y HEMODERIVADOS"
"FARMACIA DISUR DE LA CLINICA 
HOSPITAL PICHUCALCO",FARMACIA,"CARRETERA PICHUCALCO-TEAPA 
KM1",SIN COLONIA,29520,PICHUCALCO,CHIAPAS,07068090019,21/07/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DE DESCUENTO UNION,FARMACIA,"BOULEVARD PONCIANO ROJAS, LOTE 
3, MZA 19",FRACC LAS PALMAS,29520,PICHUCALCO,CHIAPAS,07068090022,31/08/2016,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA YZA PICHUCALCO 
TERMINAL",FARMACIA,PORFIRIO DIAZ NUMERO 28,COL. CENTRO,29520,PICHUCALCO,CHIAPAS,07068090023,14/12/2016,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACI MI BODEGA AURRERA 
PICHUCALCO",FARMACIA,"CALLE GENERAL CESAR A LARA No. 
223",COL.C ENTRO,29520,PICHUCALCO,CHIAPAS,07068090025,21/07/2017,"II, III, SUEROS DE ORIGEN ANIMAL, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
FARMACIA YZA PICHUCALCO CENTRO,FARMACIA,CALLE CONSTITUCION No. 5,COL. CENTRO,29520,PICHUCALCO,CHIAPAS,07068090026,28/08/2017,"II, III. VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIEGEN ANIMAL Y HERMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
FERROCARRIL",FARMACIA,"1a. PONIENTE No. 5, CENTRO",COL. CENTRO,30540,PIJIJIAPAN,CHIAPAS,07069090001,15/05/2012,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA INTRAHOSPITALARIA 
CENTRO DE SALUD URBANO",FARMACIA,"6a. PONIENTE NORTE S/N, CENTRO",CENTRO,,PIJIJIAPAN,CHIAPAS,07069090002,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL PIJIJIAPAN",FARMACIA,"CALLE CENTRAL Y 2a. NORTE S/N, 
CENTRO",CENTRO,,PIJIJIAPAN,CHIAPAS,07069090003,28/08/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
PIJIJIAPAN",FARMACIA,"CARRETERA ARRIAGA - TAPACHULA 
NUMERO 1,",BARRIO EL CERRITO,30540,PIJIJIAPAN,CHIAPAS,07069090006,09/04/2012,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC PIJIJIAPAN",FARMACIA,"INT. DEL HBC PIJIJIAPAN, CAMINO 
SAN JUAN S/N",BARRIO LOS PINOS,30540,PIJIJIAPAN,CHIAPAS,07069090008,02/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA SORIANA EXPRESS 
PIJIJIAPAN",FARMACIA,"1A CALLE ORIENTE NORTE No. 4, 
COL. CENTRO",COL. CENTRO,30540,PIJIJIAPAN,CHIAPAS,07069090010,22/04/2014,"II, III, VACUNAS, TOXOIDES, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR, SUCURSAL 
CENTRO PIJIJIAPAN",FARMACIA,"2A. AVENIDA NORTE No. 14,",COL. CENTRO,30540,PIJIJIAPAN,CHIAPAS,07069090012,05/08/2015,"I, II, III, TOXOIDES, VACUNAS, HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL NORTE",FARMACIA,AVENIDA CENTRAL NORTE No. 32,COL. CENTRO,30540,PIJIJIAPAN,CHIAPAS,07069090013,22/07/2016,"I, II, III, TOXOIDES Y VACUNAS"
"FARMACIA ALOPATICA 
INTRAHOSPITALARIA No. 33",FARMACIA,"6A. CALLE PONIENTE NORTE S/N, 
COL. CENTRO",COL. CENTRO,30540,PIJIJIAPAN,CHIAPAS,0230,08/03/2000,II Y III
FARMACIA EL FENIX EL PORVENIR,FARMACIA,"CARRETERA A MOTOZINTLA KM.46 
S/N",,,EL PORVENIR,CHIAPAS,07070090001,25/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
VILLA COMALTITLAN",FARMACIA,"4a. SUR S/N,",BARRIO GUADALUPANO,,"VILLA 
COMALTITLAN",CHIAPAS,07071090001,13/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO FEDERAL DE 
READAPTACION SOCIAL No. 15CPS-
CHIAPAS",FARMACIA,"CARRETERA FEDERAL No. 200 KM. 
229",COL. VILLA COMALTITLAN,30620,"VILLA 
COMALTITLAN",CHIAPAS,07071090002,17/10/2017,"I, II, III, VACUNAS, TOXOIDES"
"FARMACIA INTRAHOSPITALARIA DEL 
HOSPITAL INTEGRAL PUEBLO NUEVO",FARMACIA,"1a. NORTE PONIENTE No.6, CENTRO",CENTRO,29750,"PUEBLO NUEVO 
SOLISTAHUACAN",CHIAPAS,07072090001,29/03/2004,"I, II, III"
"FARMACIA YZA PUEBLO NUEVO 
SOLISTAHUACAN",FARMACIA,"AVENIDA CENTRAL ORIENTE Nº 5, 
COLONIA CENTRO, PUEBLO NUEVO 
SOLISTAHUACAN, CHIAPAS",CENTRO,29750,"PUEBLO NUEVO 
SOLISTAHUACAN",CHIAPAS,07072090002,06/06/2018,"PSICOTROPICOS FRACCION II Y III,  VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.40",FARMACIA,AV. ADOLFO LOPEZ MATEOS S/N,,,REFORMA,CHIAPAS,07074090001,11/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DE 
PEMEX",FARMACIA,"CARRETERA REFORMA - ESTACION 
JUAREZ S/N",,,REFORMA,CHIAPAS,07074090002,18/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
HOSPITAL INTEGRAL DR. VALENTIN 
GOMEZ FARIAS",FARMACIA,"AV. VENEZUELA S/N, CENTRO",CENTRO,,REFORMA,CHIAPAS,07074090004,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR REFORMA,FARMACIA,"AV. ADOLFO LOPEZ MATEOS S/N, 
CENTRO",,,REFORMA,CHIAPAS,07074090005,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS DE DESCUENTO UNION,FARMACIA,"ADOLFO LOPEZ MATEOS S/N, 
CENTRO",CENTRO,,REFORMA,CHIAPAS,07074090006,19/10/2006,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA EL FENIX REFORMA,FARMACIA,"AV. VENEZUELA S/N, CENTRO",CENTRO,,REFORMA,CHIAPAS,07074090007,04/03/2009,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
