FARMACIA CRREAD,FARMACIA,BLVD. DE LAS TORRES # 219-A,LA MORA,72588,Puebla,PUEBLA,1061141533,15/06/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA CRREAD,FARMACIA,"PROL. 16 DE SEPTIEMBRE # 
10536",ARBOLEDAS DE L.BELLA,72410,Puebla,PUEBLA,1061141534,16/06/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA *USO INTERNO DEL HOSP.UAP),FARMACIA,25 PONIENTE # 1301,VOLCANES,72410,Puebla,PUEBLA,1061141535,16/06/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
INTRAHOSPITALARIA DEL H.ANGELES DE PUEBL,FARMACIA,AV. KEPLER # 2143,U.TERRITORIAL ATLIXC,72810,Puebla,PUEBLA,1061141536,26/06/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FLORES Y REGALOS ANGELES, S.A. DE C.V.",FARMACIA,KEPLER # 2143 P.B.,U.TERRITORIAL ATLIXC,72190,Puebla,PUEBLA,1061141537,27/06/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MEDINA,FARMACIA,2 PONIENTE # 115,CENTRO,73700,Zaragoza,PUEBLA,1032111539,02/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL INTEGRAL EL LEON,FARMACIA,AV. REVOLUCION # 6202,EL LEON,74360,Atlixco,PUEBLA,1050191541,05/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL BUEN PASTOR,FARMACIA,AREA DEL DETALLE # 29,TIANGUIS B. JUAREZ,75440,San Salvador Huixcolotla,PUEBLA,1091451542,12/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA HOSPITALARIA,FARMACIA,PROL. DE LA 9 SUR # 11349-D,INFONAVIT AGUA SANTA,72490,Puebla,PUEBLA,1061141543,19/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA PUEBLA SUR,FARMACIA,PROL. DE LA 14 SUR # 11171,EX-HDA. CHAPULCO,72490,Puebla,PUEBLA,1061141544,19/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS LA LUNA, S.A. DE C.V.",FARMACIA,"AV. INDEPENDENCIA 
ORIENTE # 539-C",CENTRO,75700,Tehuacan,PUEBLA,1101561545,19/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACEUTICA GUZMAN,FARMACIA,2 DE ABRIL No. 7,CENTRO,73680,Zacapoaxtla,PUEBLA,1032071547,27/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA TELEFONICA, S.A. DE C.V.",FARMACIA,3 PONIENTE No. 2124-1,BARRIO SAN MATIAS,72000,Puebla,PUEBLA,1061141548,27/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
VITAFARMACIAS,FARMACIA,"DIAGONAL DEF. DE LA 
REPUBLICA # 728",ADOLFO LOPEZ MATEOS,72240,Puebla,PUEBLA,1061141549,31/07/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SORIANA,FARMACIA,"CADETE VICENTE SUAREZ # 
1011",EL CRISTO,72340,Puebla,PUEBLA,1061141550,06/08/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA CON MINI SUPER,FARMACIA,ALVARO OBREGON # 419,CENTRO,75950,Altepexi,PUEBLA,1100131551,07/08/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ESMERALDA,FARMACIA,3 NORTE # 10,CENTRO,72960,Puebla,PUEBLA,1061141553,15/08/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"AUTOSERVICIO DE FARMACIAS SAN ANGEL,S.A.",FARMACIA,GUERRERO # 2,CENTRO,73160,Huauchinango,PUEBLA,1010721554,15/08/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"AUTOSERVICIO DE FARMACIAS SAN ANGEL,S.A.",FARMACIA,LAFRAGUA Y CARREON # 1,EL PARAISO,73160,Huauchinango,PUEBLA,1010721555,15/08/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SU KASA,FARMACIA,AV. REFORMA # 60,CENTRO,73900,Tlatlauquitepec,PUEBLA,1031861557,10/09/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE CV",FARMACIA,"BLVD. GUSTAVO DIAZ ORDAZ 
# 3917 L-14",SAN BALTAZAR CAMPECH,72550,Puebla,PUEBLA,1061141558,17/09/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA IZUCAR DE MATAMOROS,FARMACIA,BLVD. EJE PONIENTE Nº 19,STA.CRUZ TECOXCO,74440,Izucar de Matamoros,PUEBLA,1070871559,08/10/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,CARRIL DE LA ROSA Nº 4035,10 DE MAYO,72000,Puebla,PUEBLA,1061141560,17/10/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA TEZIUTLAN,FARMACIA,MORELOS Nº 54,BARRIO DE AHUATENO,73816,Teziutlan,PUEBLA,1031741562,18/10/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DISTRIBUIDORA FARM.DEL ROSARIO,S.A.DE CV",FARMACIA,5 SUR Nº 11122-A,LOMA ENCANTADA,72497,Puebla,PUEBLA,1061141563,18/10/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL GENERAL DE ZONA 5,FARMACIA,"KM. 4.5 CARRETERA FEDERAL 
ATLIXCO-METEPEC",,74360,Atlixco,PUEBLA,1050191564,18/10/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN CRISTOBAL,FARMACIA,2 PONIENTE Nº 1519,CENTRO,72760,San Pedro Cholula,PUEBLA,1051411565,19/10/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACENTRO,FARMACIA,7 SUR Nº 3505-5,GABRIEL PASTOR,72480,Puebla,PUEBLA,1061141568,05/11/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN JOSE,FARMACIA,AV. MEXICO Nº 51,CENTRO,75680,Tlacotepec de Benito J.,PUEBLA,1101771569,05/11/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A.DE C.V.",FARMACIA,MORELOS SUR Nº 301-A,CENTRO,75200,Tepeaca,PUEBLA,1091641571,04/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS CHEDRAUI, S.A. DE C.V.",FARMACIA,9 PONIENTE Nº 1901,BARRIO DE SANTIAGO,72000,Puebla,PUEBLA,1061141572,10/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,PROL. 14 SUR Nº 11514,LOS HEROES PUEBLA II,72520,Puebla,PUEBLA,1061141573,10/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A.D E C.V.",FARMACIA,"PROL. DE LA 16 DE 
SEPTIEMBRE Nº 10901",LOMA ENCANTADA,72474,Puebla,PUEBLA,1061141574,12/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE APOLLO,FARMACIA,"ENRIQUE S. MONT O 24 SUR 
Nº 313-B",LA ARCADIA,75760,Puebla,PUEBLA,1101561575,13/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP. INTEGRAL DE HUEHUETLA,FARMACIA,JUAREZ SUR Nº 75,CENTRO,73470,Huehuetla,PUEBLA,1030731576,14/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"BLVD. FORJADORES DE 
PUEBLA Nº 8503",SANTA CRUZ BUENAVIST,72170,Puebla,PUEBLA,1061141580,18/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE C.V.",FARMACIA,"CARRET.FED. PUEBLA-
TEHUACAN KM. 7.5",BARRIO SAN LORENZO,72990,Amozoc,PUEBLA,1090151581,20/12/2007,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MEDICA DE ESPECIALIDADES SILOE DE TEC.,FARMACIA,5 PONIENTE ESQUINA 11 SUR,SAN SEBASTIAN,75480,Tecamachalco,PUEBLA,1091541582,17/01/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"ONCOLOGICA DE PUEBLA, S.A. DE C.V.",FARMACIA,"BLVD. GUSTAVO DIAZ ORDAZ 
Nº 3906",ANZURES,72530,Puebla,PUEBLA,1061141583,28/01/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR Nº 34,FARMACIA,"MANUEL A. CAMACHO Nº 
1102",CENTRO,74200,Atlixco,PUEBLA,1050191584,31/01/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN JOSE,FARMACIA,PLAZA PRINCIPAL S/N,CENTRO,75116,Acajete,PUEBLA,1090011586,26/02/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN RAFAEL,FARMACIA,"CARRETERA INTERNACIONAL 
Nº 90",SECCION TERCERA,74800,Tehuitzingo,PUEBLA,1081571587,26/02/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"VOLKSWAGEN DE MEXICO, S.A. DE C.V.",FARMACIA,"AUTOPISTA MEXICO-PUEBLA 
KM. 116",,72700,Cuautlancingo,PUEBLA,1050421588,26/02/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"OPERADORA FARMACEUTICA ARGO, S.A.DE C.V.",FARMACIA,BLVD. PUEBLA Nº 156,BOSQUES SAN SEBASTIA,72310,Puebla,PUEBLA,1061141589,04/03/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,BLVD. DIAZ ORDAZ Nº 3917-1,SAN BALTAZAR CAMPECH,72550,Puebla,PUEBLA,1061141591,05/03/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,LERDO Nº 707,CENTRO,73800,Teziutlan,PUEBLA,1031741593,24/03/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMATODO,FARMACIA,CALZADA GUADALUPE Nº 201,CENTRO,72760,San Pedro Cholula,PUEBLA,1051411594,26/03/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA SAN FRANCISCO,FARMACIA,9 PONIENTE Nº 106,CENTRO,75482,Tecamachalco,PUEBLA,1091541597,08/05/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GRUPO NUESTRA SRA. DEL CARMEN FARMACIAS,FARMACIA,5 NORTE Nº 401-B,CENTRO,72760,San Pedro Cholula,PUEBLA,1051411598,08/05/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA CRREAD,FARMACIA,BLVD. LAS TORRES Nº 219-A,LA MORA,72588,Puebla,PUEBLA,1061141599,09/05/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA CLINICA CRISTO REY,FARMACIA,16 SUR Nº 151,BARRIO SAN JOSE,75482,Tecamachalco,PUEBLA,1091541600,14/05/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"PROLONGACION REFORMA 
Nº 3529-H",LA PAZ,72160,Puebla,PUEBLA,1061141605,06/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DISTRIBUIDORA MEDICA DE ATLIXCO,FARMACIA,2 ORIENTE Nº 5,CENTRO,74200,Atlixco,PUEBLA,1050191607,06/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
F. ALEXANDER FLEMING SUC.CAPU,FARMACIA,"BLVD. NTE. H. DEL 5 DE 
MAYO Nº 2513",CLEOTILDE TORRES,72050,Puebla,PUEBLA,1061141609,10/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
F. ALEXANDER FLEMING SUC. CENTRO,FARMACIA,"AV. JUAN DE PALAFOX Y 
MENDOZA Nº 229-A",CENTRO,72000,Puebla,PUEBLA,1061141610,10/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
F. ALEXANDER FLEMING SUC. BENITO JUAREZ,FARMACIA,BOULEVARD 14 SUR Nº 5101,SAN MANUEL,72570,Puebla,PUEBLA,1061141611,10/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
F. ALEXANDER FLEMING SUC. TECAMACHALCO,FARMACIA,AV. HIDALGO Nº 5,CENTRO,75480,Tecamachalco,PUEBLA,1091541612,10/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER Y FARMACIAS DE DESCUENTO COPELL,FARMACIA,JUAREZ Nº 20,CENTRO,73300,Chignahuapan,PUEBLA,1020541613,23/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE CV",FARMACIA,"AV. JOSE MA. LA FRAGUA Nº 
8301-1",XILOTZINGO,72576,Puebla,PUEBLA,1061141614,27/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE CV",FARMACIA,"PROL. 16 DE SEPTIEMBRE (3 
SUR) Nº 14101-1",EL REFUGIO (FRACTO),72495,Puebla,PUEBLA,1061141615,27/06/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA CRUZ,FARMACIA,ALDAMA Nº 2416-B,FRACC.LA REFORMA,75760,Tehuacan,PUEBLA,1101561616,07/07/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SUPER ROY,FARMACIA,"MAXIMINO AVILA CAMACHO 
Nº 520-B",CENTRO,73970,Xiutetelco,PUEBLA,1031991617,07/07/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA CLINICA DE MED. FAMILIAR,FARMACIA,2 PONIENTE Nº 1503,CENTRO,72000,Puebla,PUEBLA,1061141618,09/07/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN JOSE,FARMACIA,JUAN GALINDO Nº 100 INT. 1,BARRIO SAN FRANCISCO,73160,Huauchinango,PUEBLA,1010721619,04/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE C.V.",FARMACIA,IGNACIO ZARAGOZA Nº 105,LOMAS 5 DE MAYO,72270,Puebla,PUEBLA,1061141620,04/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE CV",FARMACIA,AV. XONACATEPEC Nº 1871,LAZARO CARDENAS,72310,Puebla,PUEBLA,1061141621,04/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE CV",FARMACIA,"CAMINO A MORILLOTLA Nº 
4212-A",----,72760,San Pedro Cholula,PUEBLA,1061141622,04/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CENTRO DE SALUD ESP. EN BIOTECNOLOGIA A.,FARMACIA,31 PONIENTE Nº 3327,EL VERGEL,72400,Puebla,PUEBLA,1061141623,12/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA TEO TRAT.MED.PARA BAJAR DE PESO,FARMACIA,23 SUR Nº 2507,RIVERA DE SANTIAGO,72410,Puebla,PUEBLA,1061141624,12/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,BOULEVARD 14 SUR Nº 5501,JARDINES DE SAN MANU,72570,Puebla,PUEBLA,1061141625,12/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA ZACAPOAXTLA,FARMACIA,5 DE MAYO Nº 96,CENTRO,73680,Zacapoaxtla,PUEBLA,1032071626,19/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
WAL MART SUPERCENTER ANGELOPOLIS,FARMACIA,BLVD. ATLIXCAYOTL Nº 1504,FRACC.GEOVILLAS ATLI,72810,San Andres Cholula,PUEBLA,1051201627,19/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS SORIANA, S.A. DE C.V.SUC.ANIMAS",FARMACIA,"BOULEVARD ATLIXCO Nº 
3154",LAS ANIMAS,72400,Puebla,PUEBLA,1061141628,19/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DISTRIBUIDORA MEDICA SAN FELIPE,S.A.DE C",FARMACIA,13 ORIENTE Nº 1614-1,AZCARATE,72501,Puebla,PUEBLA,1061141630,26/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN JOSE,FARMACIA,13 ORIENTE Nº 408,EL CARMEN,72000,Puebla,PUEBLA,1061141631,26/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMA Y MAS,FARMACIA,3 NORTE Nº 20,CENTRO,75560,Esperanza,PUEBLA,1040641632,26/08/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MI BODEGA AURRERA ACATZINGO,FARMACIA,CALLE 3 PONIENTE S/N,,75150,Acatzingo,PUEBLA,1090041633,02/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA NUESTRA SEÑORA DE JUQUILA,FARMACIA,CAMINO A TEPEACA S/N,LIB. A AUTOPISTA,75200,Tepeaca,PUEBLA,1091641634,02/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ECONO FARMA,FARMACIA,HIDALGO Nº 3,CENTRO,73160,Huauchinango,PUEBLA,1010721635,08/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS ""ALEXANDER FLEMING"" SUC.POPULAR",FARMACIA,105 PONIENTE Nº 712,POPULAR CASTILLOTLA,72470,Puebla,PUEBLA,1061141636,08/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PROVEEDORA DE ABARROTES RIVERA,S.A.DE CV",FARMACIA,"PROLONGACION 11 SUR Nº 
10325-1",MAYORAZGO,72450,Puebla,PUEBLA,1061141637,11/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BELEN,FARMACIA,2 SUR Nº 108 LOC. A,CENTRO,72990,Amozoc,PUEBLA,1050151638,22/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA HOSPITAL PUEBLA,FARMACIA,PRIV. DE LAS RAMBLAS Nº 4,DESARROLLO ATLIXCAYO,72197,Puebla,PUEBLA,1061141639,22/09/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"GRUPO PHARMACY ANZURES, S.A. DE C.V.",FARMACIA,35 PONIENTE Nº 701 LOCAL 5,CHULA VISTA,72420,Puebla,PUEBLA,1061141640,17/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP.INTEGRAL DE TLACOTEPEC,FARMACIA,"CARRET. FED. PUE-TEH. KM. 
85.5",PARAJE TECOXTLE,75680,Tlacotepec de B. J.,PUEBLA,1101771641,20/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SU-KASA,FARMACIA,5 DE MAYO Nº 515,CENTRO,73780,Libres,PUEBLA,1040961642,20/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL MERCADO,FARMACIA,GUERRERO Nº 606-B,CENTRO,75960,Zinacatepec,PUEBLA,1102141643,20/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARM.DEL HOSPITAL INTEGRAL DE AJALPAN,FARMACIA,"RICARDO FLORES MAGON 
S/N",GUADALUPE PANTZINGO,75910,Ajalpan,PUEBLA,1100101644,20/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ECONO FARMA,FARMACIA,REFORMA Nº 113,CENTRO,73080,Xicotepec de Juarez,PUEBLA,1011971645,31/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER CHE,FARMACIA,MORELOS Nº 309-A,CENTRO,75200,Tepeaca,PUEBLA,1091641646,31/10/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PRODUCTOS MEDICOS PARA LA SALUD,FARMACIA,FRACCION B LOCAL 2,SAN BARTOLO COATEPEC,72490,Puebla,PUEBLA,1061141647,06/11/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PROVEEDORA FARM. Y HOSP. DE PUEBLA,FARMACIA,ROSENDO MARQUEZ Nº 15-6,HEROES DE PUEBLA,72520,Puebla,PUEBLA,1061141648,06/11/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"AV. ORION SUR Nº 502 LOCAL 
1 Y 2",GEOVILLAS SANTA CLAR,72810,San Andres Cholula,PUEBLA,1051201649,06/11/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL GENERAL DE TEPEACA,FARMACIA,"BLVD. ANTONIO LOPEZ 
ROSAS Nº 18",,75200,Tepeaca,PUEBLA,1091641651,19/11/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA CITY CLUB,FARMACIA,BLVD. 5 DE MAYO Nº 418,XANENETLA,72290,Puebla,PUEBLA,1061141652,19/11/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA CD. SERDAN,FARMACIA,2 PONIENTE Nº 304-A,CENTRO,75520,Chalchichomula de Sesma,PUEBLA,1040461653,19/11/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,"BLVD. ATLIXCAYOTL Nº 3248 
L-118 Y 119",SAN MARTINITO,72810,San Andres Cholula,PUEBLA,1051201655,05/12/2008,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMAPRONTO,FARMACIA,"ESQ. LIBERTAD Y REFORMA 
Nº 3",CENTRO,74890,Guadalupe Santa Ana,PUEBLA,1080671659,16/01/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS CERVANTES,FARMACIA,"19 SUR Nº 1702 ""A""",BARRIO DE SANTIAGO,72410,Puebla,PUEBLA,1061141660,16/01/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMATODO,FARMACIA,"DIAG. DEF. DE LA REPUBLICA 
Nº 480",SANTA MARIA,72080,Puebla,PUEBLA,1061141661,26/01/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN FRANCISCO,FARMACIA,3 NORTE Nº 406,CENTRO,75100,Tepatlaxco de Hidalgo,PUEBLA,1091631663,03/02/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARM.P.DE ABARROTES RIVERA,S.A.DE C.V.",FARMACIA,104 PONIENTE Nº 1720-A,PARQUE IND.5 DE MAYO,72019,Puebla,PUEBLA,1061141664,03/02/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP. GRAL ZONA NORTE,FARMACIA,88 PONIENTE S/N,INF. SAN PEDRO,72200,PUEBLA,PUEBLA,1061141665,17/02/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA,FARMACIA,PROL. 14 ORIENTE Nº 5219,AGRICOLA RESURGIMIEN,72370,Puebla,PUEBLA,1061141666,18/02/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA OLAVIDET, S.A. DE C.V.",FARMACIA,"DIAGONAL ZARAGOZA Nº 
4506-B",JARDINES DE S.MANUEL,72570,Puebla,PUEBLA,1061141667,18/02/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,LAZARO CARDENAS Nº 1519,TRES CERRITOS,72480,Puebla,PUEBLA,1061141668,18/03/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
