ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIAHOSPITALREGIONALDEL RIODE
REYNOSA",FARMACIA,"CALLERIOBRAVOS/NENTRELIBRAMIENTOECHEVERRIAY
BUSTAMANTE",COL. DEL PRADO,88560,REYNOSA,TAMAULIPAS,28032090293,24/05/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA INTERFARM,FARMACIA,BLVD. DEL MAESTRO E/BLVD. MIL CUMBRES,LAS CUMBRES,88740,REYNOSA,TAMAULIPAS,28032090018,03/05/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA I.S.S.S.T.E.,FARMACIA,ADOLFO LOPEZ MATEOS S/N,BELLA VISTA,88620,REYNOSA,TAMAULIPAS,28032090109,27/10/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,FARMACIA,CARR. SAN FERNANDO-REYNOSA NO. 8200,PIRAMIDES,88520,REYNOSA,TAMAULIPAS,28032090263,13/01/15,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA LA PAZ,FARMACIA,RIOS CANO NO. 220 ENTRE ALVARO OBREGON Y LUIS GONZALEZ,COL. DOCTORES,88690,REYNOSA,TAMAULIPAS,28032090273,22/04/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LA SALUD N. 2,FARMACIA,BLVD. DEL MAESTRO S/N,NARCIZO MENDOZA,88700,REYNOSA,TAMAULIPAS,28032090008,14/03/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LIGTH SS. JUAN PABLO II,FARMACIA,PRIV. PUENTE INTERNACIONAL # 100-6,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090067,08/06/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. ADUANA,FARMACIA,AVE. MIGUEL ALEMAN # 1115-B,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090050,12/10/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. ANGELUS,FARMACIA,PEDRO J. MENDEZ # 1827,DEL PRADO,88560,REYNOSA,TAMAULIPAS,28032090094,31/05/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. ARBOLEDAS,FARMACIA,AVE. TULIPAN # 550,FRACC. CAMPESTRE,88730,REYNOSA,TAMAULIPAS,28032090037,01/07/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. CALLE 20,FARMACIA,PEKIN # 400 Y BLVD. INGLATERRA,FRACC. LAS FUENTES,88740,REYNOSA,TAMAULIPAS,28032090185,17/06/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. CENTRO,FARMACIA,HIDALGO ESQ. C/COLON,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090191,13/07/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. CRISTAL,FARMACIA,20 DE NOVIEMBRE NO. 500,FRACC. REYNOSA,88791,REYNOSA,TAMAULIPAS,28032090260,03/07/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. CRUZ ROSA,FARMACIA,FORFIRIO DIAZ # 716,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090035,16/12/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. DEL PRADO,FARMACIA,ORTIZ RUBIO # 511 E/FCO. I. MADERO Y PEDRO J.,DEL PRADO,88560,REYNOSA,TAMAULIPAS,28032090169,26/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. DEL VALLE,FARMACIA,AVE. MADERO # 926,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090119,26/03/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. DON BOSCA,FARMACIA,ORTIZ RUBIO Y COLON,ZONA CENTRO,88560,REYNOSA,TAMAULIPAS,28032090025,12/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. FUENTES,FARMACIA,BLVD. LAS FEUNTES S/N,LAS FUENTES SECCION AZTLAN,88710,REYNOSA,TAMAULIPAS,28032090275,17/05/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. GRANJAS,FARMACIA,AV. CENTRAL NO. 250 ANTE AUTOPISTA REY MONTERREY,COL. GRANJAS ECONIMICAS,88730,REYNOSA,TAMAULIPAS,28032090279,28/09/16,PISCOTROPICOS
FARMACIA LOPEZ SUC. HIDALGO,FARMACIA,GRAL. BRAVO ESQ.,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090118,20/03/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. HOSPITAL GENERAL,FARMACIA,BLVD. ALVARO OBREGON,EMILIANO ZAPATA,88750,REYNOSA,TAMAULIPAS,28032090100,05/07/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. IMPERIAL,FARMACIA,AV. MIGUEL ALEMAN  LOCAL 7,ZONA CENTRO,88500,REYNOSA,TAMAULIPAS,28032090284,21/07/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. JARACHINA,FARMACIA,"CALLESANJOSÉNO.357ENTRECALLELASLOMASYCALLE
SANTA ISABEL",COL. LOMAS DE JARACHINA SUR,"88736
88777","REYNOSA
REYNOSA",TAMAULIPAS,28032090306,22/08/19,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. LA JOYA,FARMACIA,AVE. LA JOYA S/N,FRACC. LA JOYA,,,TAMAULIPAS,28032090096,31/05/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. LAS AMERICAS,FARMACIA,LERDO DE TEJADA N. 103 Y ALVARO OBREGON,MEDARDO GONZALEZ,88550,REYNOSA,TAMAULIPAS,28032090219,05/10/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. MADERO,FARMACIA,MADERO N. 1402,PRADO SUR,88560,REYNOSA,TAMAULIPAS,28032090207,30/07/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. MANTE,FARMACIA,RIO MANTE NO. 2000,PROL. LONGORIA,88699,REYNOSA,TAMAULIPAS,28032090259,03/07/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. MEXICO,FARMACIA,A. OBREGON ESQ. # 1975,AMP. RODRIGUEZ,88660,REYNOSA,TAMAULIPAS,28032090104,28/08/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. MUGUERZA,FARMACIA,TIBURCIO G. ZAMORA,COL. RANCHO GRANDE,88615,REYNOSA,TAMAULIPAS,28032090283,21/07/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. MIRAVALLE,FARMACIA,MARGARITA MAZA DE JUAREZ # 520,BENITO JUAREZ,88790,REYNOSA,TAMAULIPAS,28032090193,10/08/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. PARIS,FARMACIA,GUADALUPE VICTORIA # 650,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090089,27/03/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. REAL,FARMACIA,20 DE NOVIEMBRE S/N,FRACC. REYNOSA,88791,REYNOSA,TAMAULIPAS,28032090194,02/09/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. REFINERIA,FARMACIA,BLVD. LAZARO CARDENAS NO. 1140 ENTRE POZA RICA Y PANAMA,ANZALDUAS,88630,REYNOSA,TAMAULIPAS,28032090298,14/11/18,PSICOTROPICOS
FARMACIA LOPEZ SUC. REYNOSA,FARMACIA,P. DIAZ # 900,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090117,20/03/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. SAGRADO CORAZON,FARMACIA,BLVD. MORELOS  No. 360,COL. RODRIGUEZ,88630,REYNOSA,TAMAULIPAS,28032090101,31/07/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. SAN ANTONIO DE PADOVA,FARMACIA,PORFIRIO DIAZ Y ALDAMA ESQ.,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090046,07/06/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. SAN CARLOS,FARMACIA,RIO MANTE E/ ESCANDON Y SALTILLO,LONGORIA,88660,REYNOSA,TAMAULIPAS,28032090162,07/04/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. SAN FRANCISCO,FARMACIA,PEDRO J. MENDEZ # 100,DEL PRADO,88560,REYNOSA,TAMAULIPAS,28032090125,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. SAN LUIS,FARMACIA,"CALLEMONTERREYNO.295ENTRECALLESSANLUISY
FRANCISCO VILLA",COLONIA RODRIGUEZ,88630,REYNOSA,TAMAULIPAS,28032090309,03/10/19,PSICOTROPICOS
FARMACIA LOPES SUC. SILVIA,FARMACIA,RIO MANTE NO. 2300,COL. LONGORIA,88660,REYNOSA,TAMAULIPAS,28032090124,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LOPEZ SUC. VICTORIA,FARMACIA,OCTAVA S/N ESQ. ENTRE JOSE OSORIO Y AGUSTIN LARA,COL. SANTA CECILIA,88650,REYNOSA,TAMAULIPAS,28032090288,06/10/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA MEDI MARK,FARMACIA,RIO SANTA CATARINA # 902 E/CERRO DEL MERCADO,FUENTES SECC. LOMAS,88740,REYNOSA,TAMAULIPAS,28032090206,18/06/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA MENDOZA,FARMACIA,LIBRAMIENTO ORIENTE # 404,ERNESTO CEDILLO,88684,REYNOSA,TAMAULIPAS,28032090107,12/09/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"NORESTESQSSOCIEDADDERESPONSABILIDAD
LIMITADA DE CAPITAL VARIABLE",FARMACIA,SANTA EUSTOLIA Y PEDRO J. MENDEZ No. 836,DEL PRADO SUR,88560,REYNOSA,TAMAULIPAS,28032090291,11/03/19,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
"PROVEEDORAQUIRURGICAFARMACEUTICADEL
NORTE",FARMACIA,"ALVARO OBREGON S/N,",COL. EMILIANO ZAPATA,88750,REYNOSA,TAMAULIPAS,28032090251,29/01/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PETROLEOS MEXICANOS,FARMACIA,VERACRUZ Y MACUSPANA S/N,JOSE DE ESCANDON,88680,REYNOSA,TAMAULIPAS,28032090044,22/03/04,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA PUREX,FARMACIA,MARGARITA MAZA DE JUAREZ # 112,BENITO JUAREZ,88790,REYNOSA,TAMAULIPAS,28032090009,14/03/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. CENTRO DE SALUD,FARMACIA,BLVD.MORELOS Y CHILPANCINGO,RODRIGUEZ,88660,REYNOSA,TAMAULIPAS,28032090167,10/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. DISTRITO  MEDICO PRADO,FARMACIA,P.J. MENDEZ Y ORTIZ RUBIO # 300,DEL PRADO,88560,REYNOSA,TAMAULIPAS,28032090144,13/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. LAS FUENTES,FARMACIA,BLVD. LAS FUENTAS FRENTE A ROTONDA,LAS FUENTES,88680,REYNOSA,TAMAULIPAS,28032090043,20/08/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. HOSPITAL GENERAL,FARMACIA,DR. RIOS  CANO # 620,DOCTORES,88690,REYNOSA,TAMAULIPAS,28032090049,03/08/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC.  MATRIZ,FARMACIA,HERON RAMIREZ Y VERACRUZ #300,RODRIGUEZ,88660,REYNOSA,TAMAULIPAS,28032090057,13/12/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. PETROLERA,FARMACIA,VERACRUZ NO. 208,COL. JOSE DE ESCANDON,88680,REYNOSA,TAMAULIPAS,28032090253,04/06/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. REFINERIA,FARMACIA,LAZARO CARDENAS # 970,ANZALDUAS,88630,REYNOSA,TAMAULIPAS,28032090058,13/12/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. SAN VALENTIN,FARMACIA,BLVD. SAN VALENTIN # 101-A,FRACC. SAN VALENTIN,88733,REYNOSA,TAMAULIPAS,28032090145,13/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. JARACHINA,FARMACIA,AVE. LAS LOMAS ESQ./AVE. LOMA DORADA S/N,JARACHINA SUR,88736,REYNOSA,TAMAULIPAS,28032090102,01/08/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. JUAREZ,FARMACIA,CALLE MARGARITA M. JUAREZY ZACHILA # 1008 LOCAL A Y B,BENITO JUAREZ,88630,REYNOSA,TAMAULIPAS,28032090022,05/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS MORELOS,FARMACIA,BLVD. MORELOS Y NUEVO LEON # 670,COL. RODRIGUEZ,88660,REYNOSA,TAMAULIPAS,28032090020,14/05/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. CENTRO,FARMACIA,MADERO Y PEATONAL HIDALGO,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090021,27/05/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. DEL PRADO,FARMACIA,MADERO # 1296 ESQ. C/ ORTIZ RUBIO,DEL PRADO,88560,REYNOSA,TAMAULIPAS,28032090026,17/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. SAN MARTIN,FARMACIA,BRAVO Y GUERRERO # 700,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090040,22/07/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REGIS SUC. PUENTE INTERNACIONAL,FARMACIA,BLVD. MIGUEL ALEMAN L-1,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090041,22/07/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA REYNOSA,FARMACIA,"LERDODETEJADANO.100L2-CENTREAVENIDAMIGUELALEMAN
Y CALLE OCAMPO",ZONA CENTRO,88500,REYNOSA,TAMAULIPAS,28032090302,25/06/19,PSICOTROPICOS
FARMACIA SAN JUAN,FARMACIA,BLVD. DEL MAESTRO C/ORIENTE 2,LAS CUMBRES,88740,REYNOSA,TAMAULIPAS,28032090042,28/07/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SMART ANZALDUAS,FARMACIA,OAXACA # 620 ENTRE JUAREZ Y MORELOS,RODRIGUEZ,88660,REYNOSA,TAMAULIPAS,28032090078,06/10/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SMART PERIFERICO,FARMACIA,LIBRAMIENTO SUR REYNOSA NO. 1005 ENTRE AV. LOS ENCINOS,COL. LOMAS DEL REAL DE JARACHINA,88730,REYNOSA,TAMAULIPAS,28032090247,07/08/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SMART SAN FERNANDO,FARMACIA,CARR. REYNOSA-SAN FERNANDO NO. 500,PARQUE INDUSTRIAL STIVA ALCALA,88799,REYNOSA,TAMAULIPAS,28032090239,22/09/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SMART VILLAS DIAMANTE,FARMACIA,PASEO DIAMANTE S/N,VILLAS DIAMANTE,88776,REYNOSA,TAMAULIPAS,28032090168,06/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SORIANA S.A. DE C.V.,FARMACIA,AVE. JOSE ZERTUCHE # 1100,FRACC. COUNTRY,88620,REYNOSA,TAMAULIPAS,28032090006,05/03/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SIHRSA,FARMACIA,RIO BRAVO # 548 E/PEDRO J. MENDEZ Y COLON,DEL RIO,88580,REYNOSA,TAMAULIPAS,28032090192,14/07/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA SUPERMERCADOS INTERNACIONALES
HEB",FARMACIA,"BOULEVARDHIDALGONo.101-1ENTREFUENTEDEDIANAY
BOLUEVARD LAS FUENTES",COLONIA LAS FUENTES,88710,REYNOSA,TAMAULIPAS,28032090305,08/07/19,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA SUPERMERCADOS INTERNACIONALES
HEB",FARMACIA,LIBRAMIENTO SUR # 4000 E/JARACHINA Y ROSARIO,LOMAS R. DE JARACHIN,88730,REYNOSA,TAMAULIPAS,28032090202,07/04/10,ESTUPEFACIENTES Y PSICOTROPICOS
"FARMACIASUPERMERCADOSINTERNACIONALES
HEB",FARMACIA,BOULEVARD MORELOS # 185,PROL. LONGORIA,88699,REYNOSA,TAMAULIPAS,28032090079,17/10/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIASSUPERMERCADOSINTERNACIONLAES
HEB",FARMACIA,"CARR. REYNOSA-MAZATLAN KM. 85 NO. 300,",FRACC. REYNOSA,88501,REYNOSA,TAMAULIPAS,28032090265,10/03/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAM'S REYNOSA,FARMACIA,BLVD. MIGUEL HIDALGO # 1935,NARCISO MENDOZA,88700,REYNOSA,TAMAULIPAS,28032090083,13/12/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JOSE,FARMACIA,OCTAVA # 415 E/FUENTES  DIANA Y ORIENTE 2,LAS FUENTES,88710,REYNOSA,TAMAULIPAS,28032090173,01/08/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA SAN JUAN,FARMACIA,ORIENTE # 70-A,CUMBRES,88740,REYNOSA,TAMAULIPAS,28032090088,07/12/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAMBORNS PLAZA REAL REYNOSA,FARMACIA,BLVD. HIDALGO NO. 101 LOCAL SUBANCA 1,FRACC. LAS FUENTES,88710,REYNOSA,TAMAULIPAS,28032090105,31/08/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SMART MORELOS,FARMACIA,BLVD. MORELOS S/N,SANTA FE,88735,REYNOSA,TAMAULIPAS,28032090108,25/10/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN PEDRO,FARMACIA,GUERRERO # 179,CENTRO,88500,REYNOSA,TAMAULIPAS,28032090123,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN RAMON,FARMACIA,AVENIDA MIGUEL ALEMAN NO. 103 INTERIOR 24,ZONA CENTRO,88500,REYNOSA,TAMAULIPAS,28032090295,12/06/18,PSICOTROPICOS
FARMACIA TIENDAS SORIANA S.A. DE C.V.,FARMACIA,CARR. REYNOSA - MONTERREY N. 1000,JARACHINA,88720,REYNOSA,TAMAULIPAS,28032090147,12/10/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA FARMACIA SORIANA,FARMACIA,KM. 118 CARR. REYNOSA-SAN FERNANDO,CAPITAN CARLOS CANTU,88784,REYNOSA,TAMAULIPAS,28032090171,23/07/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA FARMACIA SORIANA,FARMACIA,PARIS S/N FRENTE A CENTRAL CAMIONERA,BEATTY,88630,REYNOSA,TAMAULIPAS,28032090172,23/07/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS CHEDRAUI,FARMACIA,LIB. MATAMOROS MONTERREY # 980,REYNOSA,88780,REYNOSA,TAMAULIPAS,28032090182,03/12/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA S.A. DE C.V.,FARMACIA,BLVD.HIDALGO KM. 101,FRACC. LAS FUENTES,88710,REYNOSA,TAMAULIPAS,28032090002,22/01/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA S.A. DE C.V.,FARMACIA,BLVD. MORELOS #  136,ANTONIO J. BERMUDEZ,88727,REYNOSA,TAMAULIPAS,28032090189,09/07/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA UNIDAD DE MEDICINA FAMILIAR N. 33,FARMACIA,AVE. DR. JOSE ZERTUCHE IBARRA # 1000,DEL VALLE,88620,REYNOSA,TAMAULIPAS,28032090030,05/07/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA UNIDAD DE MEDICINA FAMILIAR N. 40,FARMACIA,AVE. LOMAS SAN HECTOR S/N,JARACHINA SUR,88736,REYNOSA,TAMAULIPAS,28032090048,01/07/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA U.M.C.E. DE LA SEDENA,FARMACIA,CARRETERA FEDERAL REYNOSA-MATAMOROS KM. 85,COLONIA ALMAGUER,88785,REYNOSA,TAMAULIPAS,28032090282,05/07/17,ESTUPEFACIENTES Y PSICOTROPICOS
