ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
San Judas Tadeo,Farmacia,"Prolongación Santos Degollado # 216 - A 
Oriente",Vista Hermosa,61513,Zitácuaro,Michoacán,16 112 09 0014,14/09/2009,"Ps., V., T., S."
Diana,Farmacia,Benedicto López Sur # 30,Centro,61500,Zitácuaro,Michoacán,16 112 09 0015,21/07/2000,"Ps., V., T., S., A."
El Moral,Farmacia,Pípila Norte # 1,Centro,61500,Zitácuaro,Michoacán,16 112 09 0016,13/11/2000,"Ps., T."
ISSSTE,Botica,General Pueblita Sur # 8,Poetas,61513,Zitácuaro,Michoacán,16 112 10 0017,16/02/2018,"E.,Ps.,V.,T.,S.,A.,H."
Sanatorio Memorial,Farmacia,Leandro Valle Norte # 10,Cuauhtémoc,61504,Zitácuaro,Michoacán,16 112 09 0018,24/07/2002,"Ps., T."
Mexico,Farmacia,Dr. Emilio Garcia Sur # 47,Centro,61500,Zitácuaro,Michoacán,16 112 09 0019,24/07/2002,"Ps., V., T., S., A."
Farmacias Del Ahorro Suc. Zitacuaro,Farmacia,Miguel Hidalgo Poniente # 23,Centro,61500,Zitácuaro,Michoacán,16 112 09 0031,11/12/2002,"Ps., V., T., S., A."
Bodega Aurrerá,Farmacia,General Pueblita Norte # 26,Héroes Ferrocarrileros,61506,Zitácuaro,Michoacán,16 112 09 0032,18/12/2003,"Ps., V., T., S., A., H."
Gala,Farmacia,Mexico 68 # 29,Carabanchel,61500,Zitácuaro,Michoacán,16 112 09 0033,30/03/2006,"E., Ps."
San Diego,Farmacia,Degollado Ote.  No. 2 A B C,Guerrero,61504,Zitácuaro,Michoacán,16 112 09 0034,30/01/2017,"E., Ps., V., T., S., A., H."
Monarca,Farmacia,Hidalgo  No. 23,Centro,61500,Zitácuaro,Michoacán,16 112 09 0035,08/09/2010,Ps.
"Farmacos FR, S.A. de C.V.",Farmacia,Av. Hidalgo Poniente # 16 - B,Centro,61500,Zitácuaro,Michoacán,16 112 09 0021,21/06/2011,"Ps., V., T."
"NADRO S.A. de C.V. Hosp. Gral de 
Zitacuaro",Botica,Jacarandas No. 10,Centro,61501,Zitácuaro,Michoacán,16 112 10 0022,26/04/2013,"E., Ps."
"Farmacia ""Dr. Salomon""",Farmacia,Ocampo Oriente No. 82-A,Melchor Ocampo,61503,Zitácuaro,Michoacán,16 112 09 0023,26/11/2013,Ps.
"Farmacos FR, S.A. de C.V.",Farmacia,Av. Revolución Sur No. 221,El Moral,61514,Zitácuaro,Michoacán,16 112 09 0037,19/05/2017,"Ps.,V.,T.,S.,A.,H."
"Farmacias El Fenix del Centro Hospital 
General de Zitacuaro",Farmacia,Jacarandas No. 2,"Infonavit Jarandas No. 
2",61611,Zitácuaro,Michoacán,16 112 09 0038,20/02/2018,"E.,Ps.,V.,T.,S.,A.,H."
"F. MEDALFA Hospital General de 
Zitacuaro",Farmacia,Jacarandas No. 2,"Infonavit Jacarandas 
No. 2",61511,Zitácuaro,Michoacán,16 112 09 0039,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
La Avenida,Farmacia,Av. Vicente Riva Palacio # 28 - A,Centro,58460,Acuitzio,Michoacán,16 001 09 0002,13/11/2000,Ps.
Farmacia De Dios,Farmacia,Francisco I. Madero # 36,Centro,58460,Acuitzio,Michoacán,16 001 09 0003,21/09/2006,"Ps., V., T., S., A."
Farmapronto,Farmacia,Av. Vicente Riva Palacio # 137,Centro,58460,Acuitzio,Michoacán,16 001 09 0004,12/02/2002,"Ps., V., T., S., A."
Santa Teresita,Farmacia,Victoria # 8 - A,Centro,58460,Acuitzio,Michoacán,16 001 09 0005,04/10/2002,"Ps., V., T., S., A."
F. de Dios,Farmacia,Francisco I. Madero No. 5,Centro,58460,Acuitzio,Michoacán,16 001 09 0006,15/05/2018,Ps.
Victoria,Farmacia,Victoria # 355,Centro,61830,Ario De Rosales,Michoacán,16 009 09 0001,15/06/2000,"Ps., T."
Centro De Salud Urbano,Botica,Guadalupe La Chinaca # 150,Centro,61830,Ario De Rosales,Michoacán,16 009 10 0002,05/06/2003,Ps.
Rosales,Farmacia,Promer Tribunal De Justicia # 1,Centro,61830,Ario De Rosales,Michoacán,16 009 09 0003,10/01/2001,"Ps., V., T., S."
Nuestra Señora De Fatima,Farmacia,Av. Morelos # 524,Centro,61800,Ario De Rosales,Michoacán,16 009 09 0004,10/01/2001,"Ps., T."
Del Hospital Rural De Imss-Solidaridad,Botica,Blvrd. Lazaro Cardenas Y Luis Padilla S/N,Ramírez,61830,Ario De Rosales,Michoacán,16 009 10 0006,01/09/2005,"E., Ps., V., T., S., A."
Farmacia Ahorro,Farmacia,P. Silvia Macias # 21-2,Centro,61830,Ario De Rosales,Michoacán,16 009 09 0007,02/02/2007,"Ps., T., S., A."
Del Carmen,Farmacia,Hidalgo Y Victoria S/N,Centro,61830,Ario De Rosales,Michoacán,16 009 09 0008,04/03/2008,Ps.
"Unidad De Medicina Fam Issste Ario De 
Rosales",Botica,Carretera Ario de Rosales-Pátzcuaro,Centro,61830,Ario De Rosales,Michoacán,16 009 10 0009,04/05/2010,Ps.
"Farmacia Mi Bodega Aurrera Ario de 
Rosales",Farmacia,Av. Lázaro Cárdenas # 310,Centro,61630,Ario De Rosales,Michoacán,16 009 09 0010,07/09/2011,"Ps., V., T., S., A."
Carmén  Farmacia,Farmacia,Ocampo No. 287,Centro,61830,Ario De Rosales,Michoacán,16 009 09 0011,15/0572018,"Ps.,V.,H."
Espinoza,Farmacia,Av. Morelos Sur # 45,Centro,58400,Coeneo,Michoacán,16 016 09 0001,14/06/2000,Ps.
Del Rosario,Farmacia,"Av, Morelos Sur # 24",Centro,58400,Coeneo,Michoacán,16 016 09 0002,23/10/2006,Ps.
San Miguel,Farmacia,Ocampo # 11,Centro,61630,Erongarícuaro,Michoacán,16 032 09 0001,21/11/2000,"Ps., V., T., A."
San Francisco,Farmacia,Portal Zaragoza S/N,Barrio San Francisco,61630,Erongarícuaro,Michoacán,16 032 09 0002,18/06/2001,Ps.
Tom,Farmacia,Av. Hidalgo # 226 - B,Centro,58360,Huaniqueo,Michoacán,16 037 09 0002,18/06/2001,"Ps., V., T., S., A."
La Fe,Farmacia,Av. Morelos # 40,Centro,58360,Huaniqueo,Michoacán,16 037 09 0003,18/06/2001,"Ps., T."
La Paz 1,Farmacia,Aldama # 40,Centro,61640,Huiramba,Michoacán,16 039 09 0002,10/10/2000,"Ps., T."
Farmacia Santo Niño de Jesús,Farmacia,Fco. I. Madero No. 2-A,Lázaro Cárdenas,61640,Huiramba,Michoacán,16 039 09 0003,07/09/2011,Ps.
Don Natal,Farmacia,Plaza Juarez # 2,Centro,58784,Villa Jiménez,Michoacán,16 044 09 0001,10/01/2001,"Ps., V., T., S., A.,"
Lorena,Farmacia,Elia Perez Avalos # 431,Centro,58784,Villa Madero,Michoacán,16 044 09 0002,10/01/2001,"Ps., S., A."
Aldama,Farmacia,Primero De Mayo # 81 - A,Centro,58784,Villa Jiménez,Michoacán,16 044 09 0003,07/02/2002,"Ps., V., T., S., A."
Her-Ta,Farmacia,Av. Primero De Mayo # 9 - A,Centro,58784,Villa Jiménez,Michoacán,16 044 09 0004,13/01/2003,"Ps., V., T., S., A."
Guadalupana,Farmacia,Plaza Constitucion S/N,Centro,58450,Lagunillas,Michoacán,16 048 09 0001,22/04/2008,Ps.
Madero,Farmacia,Av. Revolucion # 264,Centro,58480,Villa Madero,Michoacán,16 049 09 0049,11/08/2005,"Ps., V., T., S., A."
Portal Matamoros,Farmacia,Portal Matamoros S/N,Centro,58480,Villa Madero,Michoacán,16 049 09 0001,13/11/2000,Ps.
Unidad De Medicina Familiar # 65,Farmacia,Araucaria # 40,Infonavit,58480,Villa Madero,Michoacán,16 049 09 0003,06/06/2001,Ps.
Farmacia Revolucion,Farmacia,Av. Revolucion # 414,Centro,58480,Villa Madero,Michoacán,16 049 09 0005,11/05/2006,"Ps., V., T., S."
Farmacia El Portal,Farmacia,Portal Matamoros # 1,Centro,58480,Villa Madero,Michoacán,16 049 09 0006,23/10/2006,Ps.
Farmacia San Juan,Farmacia,Av. Revolucion # 112 Oriente,Centro,58480,Villa Madero,Michoacán,16 049 09 0007,20/02/2008,Ps.
San Rafael,Farmacia,Morelos Norte S/N,Centro,61900,Nocupétaro,Michoacán,16 057 09 0001,03/12/2004,"Ps., T., S., A."
"Farmacia Disur Hosp. Integral Carácuaro-
Nocupétaro",Farmacia,Carret. Morelia-Huetamo 104/200 Int. 1-A,Sin Colonia,61900,Nocupétaro,Michoacán,16 057 09 0002,08/07/2015,"E., Ps., V., T., S., A., H."
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,Carretera Morelia a Huetamo s/n,Centro,61900,Nocupétaro,Michoacán,16 057 09 0003,17/08/2016,"E.,Ps.,V.,T.,S.,A.,H."
"Farmacias El Fenix del Centro Hospital 
Integral Caracuaro-Nocupetaro",Farmacia,"Carr. Salida Morelia-Huetamo 104/200 s/n Int. 
1-A",Nocupetaro,61900,Nocupétaro,Michoacán,16 057 09 0005,01/02/2018,"E.,Ps.,V.,T.,S.,A.,H."
"F. MEDALFA Hospital Integral Caracuaro-
Nocupetaro",Farmacia,"Carr. Salida Morelia-Huetamo 104/200 s/n Int. 
1-A",Nocupetaro,61900,Nocupétaro,Michoacán,16 057 09 0006,20/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
Nueva,Farmacia,Juarez # 3 - A,Centro,58570,Panindícuaro,Michoacán,16 063 09 0001,15/06/2000,Ps.
Sagrado Corazon,Farmacia,Ocampo Y Emiliano Zapata S/N,Centro,58570,Panindícuaro,Michoacán,16 063 09 0002,21/11/2000,"Ps., T., S., A."
Super Farmacia Del Niño Doctor,Farmacia,Emiliano Zapata # 20 - A,Centro,58570,Panindícuaro,Michoacán,16 063 09 0003,01/12/2005,"Ps., V., T., S., A., H."
Super Farmacia Mexicana,Farmacia,Emiliano Zapata # 47,Centro,58570,Panindícuaro,Michoacán,16 063 09 0004,21/02/2006,"Ps., V., T., S., A., H."
La Salud,Farmacia,Andador De La Pera # 2,Fracc. La Era,61620,Pátzcuaro,Michoacán,16 066 09 0001,15/06/2000,"Ps., T."
Hospital General De Patzcuaro,Botica,Lloreda Y Esperanza S/N,Centro,61600,Pátzcuaro,Michoacán,16 066 10 0002,09/09/2003,"E., Ps., V., T., S., A., H."
San Martin,Farmacia,Tangara Y Benito Juarez # 70,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0003,26/06/2000,"Ps., T."
Principal,Farmacia,Benito Mendoza # 1,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0004,26/06/2000,"Ps., T."
Eco - Farmacia de Descuento,Farmacia,Obregon/Libertad S/N,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0006,23/05/2011,"Ps., V., T., S."
Gems,Farmacia,Benito Juarez # 21,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0007,26/06/2000,"Ps., V., T., S., A."
La Paz,Farmacia,Plaza Gertrudis Bocanegra # 9,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0008,26/06/2000,"Ps.,"
Villalongin,Farmacia,Plaza Vasco De Quiroga # 63,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0011,29/05/2007,"Ps., V., T., S., A."
Moderna,Farmacia,Portal Allende # 57,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0012,26/06/2000,"Ps., V."
Maryfer,Farmacia,Codallos # 33,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0013,26/06/2000,"Ps., V."
San Daniel,Farmacia,Paseo # 112,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0014,26/06/2000,"Ps., V., T."
Mini Farmacia De Dios,Farmacia,Revolución Social # 19 - B,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0015,26/06/2000,"Ps., V., T."
De Dios,Farmacia,Portal Juarez # 31 - A,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0016,26/06/2000,Ps.
Del Carmen,Farmacia,Romero # 22,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0017,26/06/2000,"Ps., T."
Del Refugio,Farmacia,B. Serrato # 55,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0018,26/06/2000,"Ps., T."
Dr. Gabriel Garcia,Farmacia,Romero # 10,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0019,26/06/2000,"Ps., T., A., H."
Avenida,Farmacia,Lazaro Cardenas # 656,Morelos,61600,Pátzcuaro,Michoacán,16 066 09 0020,26/06/2000,Ps.
Guadalajara,Farmacia,Ramos # 22,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0021,06/06/2001,"Ps., V., T."
Del Centro,Farmacia,Bocanegra # 20 -A,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0022,07/02/2002,Ps.
Farmacia Del Imss,Botica,Av. Lazaro Cardenas S/N,Centro,61600,Pátzcuaro,Michoacán,16 066 10 0023,20/08/2007,"Ps., V., T., S., A."
Clinica Hospital Issste Patzcuaro,Botica,Antonio Arriaga S/N,Fracc. La Ilusión,61600,Pátzcuaro,Michoacán,16 066 10 0024,10/10/2016,"E.,Ps.,V.,T.,S.,A.,H."
Comercializadora CAZAMAD S.A. de C.V.,Farmacia,Benito Mendoza No. 32,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0025,19/05/2017,"Ps.,V.,T.,A.,S.,H."
Farmacia Del Refugio,Farmacia,Serrato # 55 Esq. Nogal,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0028,25/08/2006,"Ps., V., T."
Farmacia Soriana,Farmacia,Libramiento Ignacio Zaragoza # 233,Centro,61615,Pátzcuaro,Michoacán,16 066 09 0029,18/12/2008,Ps.
Farmacia Bodega Aurrera Patzcuaro,Farmacia,Lazaro Cardenas # 401,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0030,20/07/2009,"E., Ps., V., T., S., A., H."
Comercializadora CAZAMAD S.A. de C.V.,Farmacia,Portal Juárez # 31-A,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0031,19/05/2017,"Ps.,V.,T.,A.,S.,H."
"NADRO S.A. de C.V. Hosp. Gral. 
Patzcuaro",Botica,Lloreda No. 38,Centro,61601,Pátzcuaro,Michoacán,16 066 10 0032,29/04/2013,"E., Ps."
Farmacia San Juan,Farmacia,José María Morelos No. 18,Centro,61620,Pátzcuaro,Michoacán,16 066 09 0033,13/05/2013,P.
Farmacia Guadalajara S.A. de C.V.,Farmacia,Av. Lázaro Cárdenas No. 434 L-1,Centro,61615,Pátzcuaro,Michoacán,16 066 09 0034,26/11/2013,"Ps., V.,T.,H."
Farmacias Farmapronto,Farmacia,Lloreda No. 5-A,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0035,25/11/2013,Ps.
Farmacia Santa Isabel,Farmacia,Ponce de León No. 25-A,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0036,11/12/2013,Ps.
F. Disur del Hospital Gral de Pátzcuaro,Farmacia,Lloreda No. 38 Interior 1-A,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0037,17/06/2015,"E., Ps., V., T., S., A., H."
Farmacia Guadalajara S.A de C.V.,Farmacia,Ignacio Zaragoza No. 923,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0038,21/10/2015,"Ps., V., T., A., S., H."
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,Lloreda No. 38,Centro,61600,Pátzcuaro,Michoacán,16 066 09 0'039,17/08/2016,"E.,Ps.,V.,T.,S.,A.,H."
"Farmacias El Fenix del Centro Hospital 
General de Patzcuaro",Farmacia,Avenida Los Pinos No. s/n,El Manzanillal,61615,Pátzcuaro,Michoacán,16 066 09 0041,01/02/2018,"E.,Ps.,V.,T.,A.,S.,JH."
"F. MEDALFA Hospital General de 
Patzcuaro",Farmacia,Av. Los Pinos No. s/n,El Manzanillal,61615,Pátzcuaro,Michoacán,16 066 09 0042,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Farmacias del Ahorro,Farmacia,Plaza Gertrudis Bocanegra # 22,Patzcuaro Centro,61600,Pátzcuaro,Michoacán,16 066 09 0043,31/01/2019,"Ps.,V.,T.,A.,S.,H."
Farmacias del Ahorro,Farmacia,Ramos No. 21,Patzcuaro Centro,61600,Pátzcuaro,Michoacán,16 066 09 0044,31/01/2019,"Ps.,V.,T.,A.,S.,H."
Farmacity,Farmacia,Lloreda No. 5-A,Patzcuaro Centro,61600,Pátzcuaro,Michoacán,16 066 09 0045,27/02/2019,"Ps.,V.,T.,A.,S.,H."
Gems De Descuento,Farmacia,Hidalgo y Lázaro Cárdenas # 1,Centro,58420,Quiroga,Michoacán,16 073 09 0001,15/06/2000,"Ps., V., T., A."
Sarita,Farmacia,Industria # 22 - A,Centro,58420,Quiroga,Michoacán,16 073 09 0002,25/06/2008,"Ps., V., T., S., A., H."
Vero,Farmacia,Galeana # 135,Centro,58420,Quiroga,Michoacán,16 073 09 0003,26/06/2000,"Ps., V., T."
Farmacia La Paz,Farmacia,Galeana # 136 - A,Centro,58420,Quiroga,Michoacán,16 073 09 0004,19/06/2009,"Ps., V., T."
La Divina Providencia,Farmacia,Pino Suarez # 42,Centro,58420,Quiroga,Michoacán,16 073 09 0005,20/04/2009,Ps.
La Salud,Farmacia,Lazaro Cardenas # 426,Centro,58420,Quiroga,Michoacán,16 073 09 0006,26/06/2000,Ps.
Esmeralda,Farmacia,Michelena # 18,Centro,58420,Quiroga,Michoacán,16 073 09 0007,26/06/2000,"Ps., V., T."
Del Perpetuo Socorro,Farmacia,Reforma # 47,Centro,58420,Quiroga,Michoacán,16 073 09 0008,26/06/2000,Ps.
El Milagro,Farmacia,Av. Lazaro Cardenas # 179 - B,Centro,58420,Quiroga,Michoacán,16 073 09 0009,26/06/2000,"Ps., T."
Instituto Mexicano Del Seguro Social,Botica,Lázaro Cárdenas Sur s/n,Cucupao,58420,Quiroga,Michoacán,16 073 10 0010,06/0572016,"Ps.,"
Angeles,Botica,Francisco I. Madero # 74,Centro,58420,Quiroga,Michoacán,16 073 09 0011,21/09/2006,Ps.
Farmapronto,Farmacia,Vasco De Quiroga # 58 - B,Centro,58420,Quiroga,Michoacán,16 073 09 0012,23/10/2006,Ps.
La Mona,Farmacia,Lazaro Cardenas # 179 - A,Centro,58420,Quiroga,Michoacán,16 073 09 0013,06/10/2008,Ps.
Gems De Descuento,Farmacia,Av. Lazaro Cardenas # 8,Centro,58240,Quiroga,Michoacán,16 073 09 0014,05/02/2010,Ps.
Farmacia Los Naranjos,Farmacia,Degollado Esq. Mariano Jimenez,Centro,58240,Quiroga,Michoacán,16 073 09 0015,10/06/2010,Ps.
Don Vasco,Farmacia,Av. Lazaro Cardenas Sur # 600 - A,Centro,58241,Quiroga,Michoacán,16 073 09 0016,10/09/2010,Ps.
Farmacia mi bodega Ahorrera Quiroga,Farmacia,Av. Lázaro Cárdenas # 617,Centro,58420,Quiroga,Michoacán,16 053 09 0018,22/08/2011,"Ps., V., T., S., A., .H."
Farmacia del Ahorro,Farmacia,Vasco de Quiroga # 46,Centro,57420,Quiroga,Michoacán,16 073 09 0017,23/05/2011,"E., Ps., V., T., S., A., H."
Farmapronto Quiroga,Farmacia,Fco. I. Madero No. 36- A,Centro,58420,Quiroga,Michoacán,16 073 09 0019,07/06/2012,Ps.
Farmacias GEMS,Farmacia,Av. Vasco de Quiroga No. 42,Centro,58420,Quiroga,Michoacán,16 073 09 0020,23/08/2017,"Ps.,V.,T.,S.,A.,H."
farmacia GRUMEQ,Farmacia,Justo Sierra No. 221,La Cruz,58420,Quiroga,Michoacán,16 073 09 0021,24/05/2016,"E., Ps."
Farmacia Guadalajara S.A. de C.V.,Farmacia,Av. Vasco de Quiroga No. 150,Centro,58420,Quiroga,Michoacán,16 073 09 0022,04/05/2017,"Ps.,V.,H."
San Jose,Farmacia,Vasco De Quiroga Sur # 115,Centro,61800,"Salvador 
Escalante",Michoacán,16 079 09 0001,21/11/2000,"Ps., T."
San Daniel,Farmacia,Av. 16 De Septiembre # 10,Centro,61800,"Salvador 
Escalante",Michoacán,16 079 09 0002,21/11/2000,Ps.
San Jose,Farmacia,Morelos # 12,Centro,61800,"Salvador 
Escalante",Michoacán,16 079 09 0003,24/11/2000,Ps.
Lupita,Farmacia,Hidalgo # 68,Centro,61800,"Salvador 
Escalante",Michoacán,16 079 09 0004,24/11/2000,Ps.
Flores,Farmacia,Ruben Robero # 130,Centro,61650,Tacámbaro,Michoacán,16 082 09 0001,05/06/2000,"Ps., T."
"Hospital General De Tacambaro ""Maria 
Zendejas""",Botica,Madero Oriente # 330,Centro,61650,Tacámbaro,Michoacán,16 082 10 0002,14/05/2003,"E., Ps., V., T., S., A., H."
Buena,Botica,Portal Galeana # 26,Centro,61650,Tacámbaro,Michoacán,16 082 10 0003,05/06/2000,"Ps., V., T., S., A."
De Dios,Farmacia,Francisco J. Mujica # 109,Centro,61650,Tacámbaro,Michoacán,16 082 09 0004,05/06/2000,"Ps., V., T., .S., A."
Mi Casa,Farmacia,Articulo 123 # 40,Centro,61650,Tacámbaro,Michoacán,16 082 09 0005,05/05/2000,"Ps., V., T."
Fatima,Farmacia,Ignacio Zaragoza # 149,Centro,61650,Tacámbaro,Michoacán,16 082 09 0006,05/06/2000,"Ps., V., .T., S., A."
Santa Maria,Farmacia,Morelos # 194,Centro,61650,Tacámbaro,Michoacán,16 082 09 0007,05/06/2000,"Ps., V., T., S., .A."
Paris,Farmacia,Francisco J. Mujica # 187,Centro,61650,Tacámbaro,Michoacán,16 082 09 0008,15/02/2000,"Ps., T."
San Antonio,Farmacia,Ignacio Zaragoza Y Carlos Salazar # 265,Centro,61650,Tacámbaro,Michoacán,16 082 09 0009,15/06/2000,"Ps., T."
Del Centro,Farmacia,Codallos # 23,Centro,61650,Tacámbaro,Michoacán,16 082 09 0010,15/06/2000,"Ps., V., T., A., H."
Farmacia Madero,Farmacia,Madero Poniente # 182 - A,Centro,61650,Tacámbaro,Michoacán,16 082 09 0011,02/02/2007,"Ps., T., S., .A."
Centro De Salud Urbano,Farmacia,Ignacio Zaragoza # 188,Centro,61650,Tacámbaro,Michoacán,16 082 09 0012,26/06/2000,"Ps., V., T., S."
San Francisco,Farmacia,Francisco J. Mujica S/N,Centro,61650,Tacámbaro,Michoacán,16 082 09 0013,10/10/2000,"Ps., V., T."
Del Imss No. 24,Farmacia,Av. Jose Maria Morelos # 501,Centro,61650,Tacámbaro,Michoacán,16 082 09 0014,24/11/2000,"E., Ps."
Super Farmacia Buena,Farmacia,Portal Galeana # 26,Centro,61650,Tacámbaro,Michoacán,16 082 09 0016,17/05/2001,"Ps., T., .S, .A."
Del Amparo,Farmacia,Reforma # 97,Centro,61650,Tacámbaro,Michoacán,16 082 09 0017,06/06/2001,"Ps., V., .T., S., A."
Principal,Farmacia,Av. Madero Oriente # 1,Centro,61650,Tacámbaro,Michoacán,16 082 09 0018,18/06/2012,"Ps., V., T., S., .A."
Comercializadora CAZAMAD S.A. de C.V.,Farmacia,Revolucion # 4,Centro,61650,Tacámbaro,Michoacán,16 082 09 0019,14/06/2018,"Ps., V., T., S., A., H."
"Unidad De Medicina Familiar Issste 
Tacámbaro",Botica,Pino Suarez # 371,Popular Indigenista,61650,Tacámbaro,Michoacán,16 082 10 0021,02/02/2010,Ps.
Super Che,Farmacia,Libramiento Suroeste # 431,Centro,61650,Tacámbaro,Michoacán,16 082 09 0022,05/02/2010,"Ps., V., T., S., A., H."
Unidad De Medicina Familiar # 74,Botica,Melchor Ocampo # 233,Centro,61650,Tacámbaro,Michoacán,16 082 10 0023,10/09/2010,Ps.
Farmacia Bodega Aurrerá Tacámbaro,Farmacia,Libramiento Suroeste #431,La Purisima,61650,Tacámbaro,Michoacán,16 082 09 0024,18/01/2011,"Ps., V., T., S., A., H."
"NADRO S.A. de C.V. Hosp. Gral. De 
Tacambaro",Botica,Madero Ote. No. 330,Centro,61651,Tacámbaro,Michoacán,16 082 10 0025,25/04/2013,"E., Ps."
"F. Disur del Hospital General de 
Tacámbaro",Farmacia,Madero Ote. No. 330 Interior 1-A,Centro,61650,Tacámbaro,Michoacán,16 082 09 0027,02/07/2015,"E., Ps., V., T., S., A., H."
Instituto Mexicano Del Seguro Social,Botica,Ave. Hacienda Huaracha s/n,"Exhacienda de 
canicuaro",61653,Tacámbaro,Michoacán,16 082 10 0028,14/06/2016,Ps.
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,María Zendejas Esq. Madero Oriente No. 330,Centro,61650,Tacámbaro,Michoacán,16 082 09 0029,17/08/2016,"E.,Ps.,V.,T.,S.,A.,H."
"Farmacias El Fenix del Centro Hospital 
General de Tacambaro",Farmacia,Madero oriente No. 330 1-A,Centro,61650,Tacámbaro,Michoacán,16 082 09 0031,01/02/2018,"E.,Ps,V.,T.,A.,S.,H."
"F.MEDALFA Hospital General de 
Tacambaro",Farmacia,Madero Oriente No. 330 1-A,Centro,61650,Tacámbaro,Michoacán,16 082 09 0032,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Farmacias del Ahorro,Farmacia,Revolución No. 6,Centro,61650,Tacámbaro,Michoacán,16 082 09 0033,05/06/2018,"Ps.,V.,T.,A.,S.,H."
Carol,Farmacia,Jose Maria Martinez # 10,Obrera,61682,Turicato,Michoacán,16 097 09 0001,29/10/2002,Ps.
Instituto Mexicano Del Seguro Social,Botica,Conocido s/n,La Huerta,61682,Turicato,Michoacán,16 097 10 0002,23/07/2013,Ps.
"Farmacia Del Hospital General De Zona # 
2",Botica,Salvador Allende # 100,Centro,58600,Zacapu,Michoacán,16 107 10 0001,24/|0/2006,"E., Ps."
Santa Monica,Farmacia,Morelos # 67 - 2,Centro,58600,Zacapu,Michoacán,16 107 09 0002,26/06/2000,Ps.
La Salud,Farmacia,Zaragoza y 20 De Noviembre # 53,Centro,58600,Zacapu,Michoacán,16 107 09 0003,26/06/2000,Ps.
Las Torres,Farmacia,Juarez Oriente # 464,Centro,58600,Zacapu,Michoacán,16 107 09 0004,30/06/2000,"Ps., T., S., A."
Farmacia París,Farmacia,Av. Morelos # 404- 1,Centro,58600,Zacapu,Michoacán,16 107 09 0005,21/04/2006,"Ps., V., T."
Mexico,Farmacia,Av. Morelos # 316,Centro,58600,Zacapu,Michoacán,16 107 09 0006,10/10/2000,"Ps., V., T., S., A."
Super Farmacias Mexicana Suc. Zacapu,Farmacia,Av. Morelos # 319,Centro,58600,Zacapu,Michoacán,16 107 09 0007,05/07/2002,"Ps., V., T., S., A."
Guadalajara,Farmacia,Av. Morelos # 279 - A,Centro,58600,Zacapu,Michoacán,16 107 09 0008,10/10/2000,"Ps., V., T., S., A."
Morelos,Farmacia,Av. Morelos # 675,Centro,58600,Zacapu,Michoacán,16 107 09 0009,10/10/2000,"Ps., V., T., S., .A."
Olimpia,Farmacia,Av. Morelos # 454,Centro,58600,Zacapu,Michoacán,16 107 09 0010,10/10/2000,"Ps., V., T., A."
Centro De Salud Urbano,Farmacia,Arriaga Rivera # 40,Centro,58600,Zacapu,Michoacán,16 107 09 0011,06/02/2002,Ps.
Super Farmacia Del Niño Doctor,Farmacia,Av. Morelos # 181,Centro,58600,Zacapu,Michoacán,16 107 09 0012,15/05/2006,"Ps., V., T., S., A., H."
