ESTABLECIMIENTO,GIRO,CALLE,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  
II, III), VACUNAS, TOXOIDES, SUEROS 
DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS, 
(I,II,III,V,T,S,A,H) METADONA, 
OXYCONTIN)"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,EZEQUIEL ORDOÑEZ No.108,BELLAVISTA,36730,SALAMANCA,GUANAJUATO,11027090013,05-oct-04,"II y III, VACUNAS, TOXOIDES , SUEROS Y 
ANTITOXINAS"
"""FORTUNA""",FARMACIA,FRANCISCO VILLA No. 314,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090014,26-mar-01,"II y III, VACUNAS Y SUEROS"
"""FARMACIAS DEL AHORRO 
SUCURSAL SALAMANCA",FARMACIA,MORELOS No. 201 LOCAL 1,CENTRO,36700,SALAMANCA,GUANAJUATO,11027 09 0006,11-jul-14,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
HEMODERIVADOS"
"FARMACIA I.S.S.E.G. 
No.128",FARMACIA,TENIXTEPEC No. 426,BELLAVISTA,36730,SALAMANCA,GUANAJUATO,11027090070,13-jul-18,"PSICOTROPICOS FRACCION II y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,AV. DEL TRABAJO No. 304 PTE.,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090017,12-ene-05,"II y III, VACUNAS, SUEROS Y TOXOIDES"
FARMACIA GUADALAJARA,FARMACIA,"PORTAL JOSE ROJAS 
GARCIDUEÑAS No. 115,",CENTRO,36700,SALAMANCA,GUANAJUATO,11027090019,27-mar-04,"II y III, VACUNAS, TOXOIDES, SUEROS 
DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"ANEXA AL CERESO DE 
SALAMANCA",FARMACIA,"CARR. SALAMANCA-VALLE DE 
SANTIAGO KM. 1.5","CARR. SALAMANCA-
VALLE DE SANTIAGO KM. 
15",36700,SALAMANCA,GUANAJUATO,11027090019,10-nov-05,"II y III, VACUNAS, TOXOIDES YSUEROS"
"ANEXA A CONSULTORIO 
MEDICO",FARMACIA,18 DE MARZO No. 1008,BELLAVISTA,36700,SALAMANCA,GUANAJUATO,11027090020,09-ene-06,NO
"""FARMACIA  DEL AHORRO 
SUCURSAL FAJA DE ORO""",FARMACIA,FAJA DE ORO No. 300,CENTRO,36700,SALAMANCA,GUANAJUATO,1102709 0007,11-jul-14,"II y III, VACUNAS, SUEROS, TOXOIDES Y 
HEMODERIVADOS"
FARMACIA ISSEG NO. 223,FARMACIA,"COMUNICACIÓN NORTE NO. 
110",RENOVACION,36250,SALAMANCA,GUANAJUATO,11027 09 0005,30-jun-14,"II Y III, VACUNAS,TOXOIDES, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,SANCHEZ TORRADO No. 614,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090022,16-abr-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
FARMACIA SAMS CLUB,FARMACIA,"AVENIDA FAJA DE ORO NO. 
805 COL. GUADALUPE",COL. GUDALUPE,36747,SALAMANCA,GUANAJUATO,11027090007,19-dic-13,"II,III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
SAN JOSE,FARMACIA,18 DE MARZO No. 121,"CONGREGACION DE 
CARDENAS",36870,SALAMANCA,GUANAJUATO,11027090022,02-ago-06,"PSICOTRÓPICOS FRACCION II y III, 
TOXOIDES"
SAN FRANCISCO DE ASIS,FARMACIA,"PROL. MIGUEL HIDALGO 
No.1803",SAN JUAN DE LA PRESA,36700,SALAMANCA,GUANAJUATO,11027090056,27-mar-17,"PSICOTROPICOS FRACCION II y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL Y ANTITOXINAS DE 
ORIGEN ANIMAL"
"""ISSEG No.143""",FARMACIA,HIDALGO No. 404,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090023,19-ago-06,II y III
"""FARMACIA PEMEX""",FARMACIA,TAMPICO No. 910,BELLAVISTA,36720,SALAMANCA,GUANAJUATO,11027090024,17-nov-06,"I, II y III, VACUNAS, SUEROS, 
HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"RAMON LOPEZ VELARDE No. 
101-A",SAN PEDRO,36700,SALAMANCA,GUANAJUATO,11027090024,16-abr-01,"PSICOTROPICOS FRACCION II y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL Y ANTITOXINAS DE 
ORIGEN ANIMAL"
"ANEXA A CLINICA DE 
ESPECIALIDADES MEDICO 
QUIRURGICA SAN 
SEBASTIAN",FARMACIA,"AV. VALLE DE SANTIAGO No. 
1302",GUANAJUATO,36780,SALAMANCA,GUANAJUATO,11027090025,09-dic-08,"I, II y III, VACUNAS, TOXOIDES, SUEROS 
Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""","Archivo dio de baja 
2011",5 DE MAYO No .300,centro,36700,SALAMANCA,GUANAJUATO,11027090025,16-abr-01,II y III
"ANEXA A CAISES 
SALAMANCA",FARMACIA,AV. VALLE DE SANTIAGO S/N,"CENTRO,",36700,SALAMANCA,GUANAJUATO,11027090025,08-may-07,"ESTUPEFACIENTES FRACCION I, 
PSICOTROPICOS FRACCION II Y III, 
VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""SANTUARIO""",FARMACIA,JUAREZ No. 126,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090026,10-jun-09,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"INSTITUTO DE SEGURIDAD 
Y SERVICIOS SOCIALES 
DE LOS TRABAJADORES 
DEL ESTADO CLÍNICA DE 
MEDICINA FAMILIAR 
SALAMANCA",FARMACIA,"ALVARO OBREGON SUR No. 
1401",CAMINO AL CERRITO,36790,SALAMANCA,GUANAJUATO,11027090046,31-ago-16,"PSICOTRÓPICOS FRACCIÓN II y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL"
"""BODEGA AURRERA 
SALAMANCA SUR""",FARMACIA,"BLVD. AV. VALLE DE 
SANTIAGO S/N",CONSTELACIÓN,36793,SALAMANCA,GUANAJUATO,11027090028,09-dic-10,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"PORTAL JOSE ROJAS 
GARCIDUEÑAS No. 119",CENTRO,36530,SALAMANCA,GUANAJUATO,11027090028,30-abr-01,"PSICOTRÓPICOS FRACCIÓN II y III 
VACUNAS, SUEROS, TOXOIDES 
YANTITOXINAS"
"ANEXA A BODEGA 
AURRERA",FARMACIA,AV. FAJA DE ORO No. 400,CENTRO,38700,SALAMANCA,GUANAJUATO,11027090032,21-jun-03,"PSICOTRÓPICOS FRACCIÓN II y III 
VACUNAS, TOXOIDES Y SUEROS"
FARMACIA I.S.S.E.G. No. 25,FARMACIA,SANCHEZ TORRADO No. 506-A,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090071,13-jul-18,"PSICOTRÓPICOS FRACCIÓN II y III 
VACUNAS,TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMALY HEMODERIVADOS"
"""GEMA""","Archivo dio de baja 
2011",ZARAGOZA No. 206,CENTRO,36700,SALAMANCA,GUANAJUATO,11027090090,28-mar-01,
CLINICA DEL CARMEN,BOTICA,VICENTE BUSTOS No. 111-B,CENTRO,36700,SALAMANCA,GUANAJUATO,11027100047,18-abr-16,"ESTUPEFACIENTES FRACCIÓN I
PSICOTRÓPICOS FRACCIÓN II y III
HEMODERIVADOS"
"""ANEXA A CLINICA LA 
SOLEDAD""",BOTICA,AV. JUAREZ No. 924-A,CENTRO,36700,SALAMANCA,GUANAJUATO,11027100004,27-feb-04,"PSICOTRÓPICOS FRACCIÓN II y III 
VACUNAS, SUEROS Y 
HEMODERIVADOS"
"CLINICA RHIYALV BOTICA 
ANEXA  A CONSULTORIO",BOTICA,"PASEO DE LOS JARDINES No. 
114",LAS REYNAS,36720,SALAMANCA,GUANAJUATO,11027100055,06-mar-17,PSICOTRÓPICOS FRACCIÓN II y III
"CENTRO ESTATAL DE 
CUIDADOS RITICOS",BOTICA,"TECOLUTLA ESQ. ARBOL 
GRANDE S/N  SALAMANCA",COL. BELLAVISTA,36700,SALAMANCA,GUANAJUATO,1102710 0001,14-ene-14,"I,II Y III, VACUNAS, TOXOIDES Y 
SUEROS"
FARMACIA GUADALAJARA,FARMACIA,"CALLE CRUZ  ROJA  NO. 110 
CENTRO",CENTRO,36700,SALAMANCA,GUANAJUATO,11027090003,04-mar-14,"PSICOTRÓPICOS FRACCIÓN II y III 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""CENTRO ESTATAL PARA 
LA ATENCIÓN DE 
ENFERMEDADES 
RESPIRATORIAS""",BOTICA,"BLVD. ÁRBOL GRANDE Y 
TECOLUTLA S/N",BELLAVISTA,36730,SALAMANCA,GUANAJUATO,11027100006,25-jul-11,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ANEXA A HOSPITAL DE 
JESUS II""",FARMACIA,JUAREZ N.720-C,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090004,28-mar-01,"II Y III,Biologicos"
"""ESPECIAL II""",FARMACIA,ZARAGOZA N.4,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090005,28-mar-01,"II Y III,Biologicos"
"""ANEXA ASANATORIO 
SALVATIERRA""",BOTICA,BENITO JUAREZ N.718,,,SALVATIERRA,GUANAJUATO,11028090006,28-mar-08,"II Y III,Biologicos"
"""GUADALAJARA""",FARMACIA,BENITO JUAREZ No. 118 COL.,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090006,11-feb-03,"II Y III,Biologicos"
"""GUADALAJARA""",FARMACIA,BENITO JUAREZ NO.118,,,SALVATIERRA,GUANAJUATO,11028090006,11-feb-03,"II Y III,Biologicos"
DIVINO NIÑO JESUS,FARMACIA,LEONA VICARIO No. 15-A,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090007,22-may-03,"II Y III,Biologicos"
"""SAGRADO CORAZON""",FARMACIA,JUAREZ N.720-B,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090008,20-may-06,"II Y III,Biologicos"
ANKAR,FARMACIA,I. ZARAGOZA N.718,,,SALVATIERRA,GUANAJUATO,11028090008,29-mar-01,"II Y III,Biologicos"
"""PRESIDENCIA 
MUNICIPAL""",FARMACIA,JUAREZ N. 408,,,SALVATIERRA,GUANAJUATO,11028090009,16-abr-03,"II Y III,Biologicos"
"""MANTE""",FARMACIA,HIDALGO N. 101-C CO.,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090010,16-abr-01,"I,II Y III,Biologicos"
LA LUZ,FARMACIA,"SANTOS DEGOLLADO No. 417-
D",CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090011,16-abr-01,"I,II Y 
III,TOXOIDES,SUEROS,ANTITOXINAS Y 
HEMODERIVADOS"
"FARMACIA DEL AHORRO 
SUCURSAL SALVATIERRA",FARMACIA,JUAREZ NO.206,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090003,18-dic-14,"II Y 
III,VACUNAS,TOXOIDES,SUEROS,ANTIT
OXINAS Y HEMODERIVADOS"
"FARMACIA Y ABARROTES 
LOPEZ",FARMACIA,PLAZUELA HIDALGO No. 107,,,SALVATIERRA,GUANAJUATO,11028090012,07-dic-05,"II Y III,Biologicos"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,PORTAL DEL CAMEN N.26,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090013,15-dic-05,"II Y III,Biologicos"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,HIDALGO N.504,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090014,23-ene-06,"II Y III,Biologicos"
SAN FRANCISCO DE ASIS,FARMACIA,"VICENTE GUERRERO NO. 326-
A",ZONA CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090027,11-ago-17,"PSICOTROPICOS FRACCION II Y III, 
VACUNAS, TOXOIDES, SEUROS DE 
ORIGEN ANIMAL Y ANTITOXINAS DE 
ORIGEN ANIMAL"
ANEXA A UMF NO.8,FARMACIA,JUAREZ S/N CENTRO,,,SALVATIERRA,GUANAJUATO,11028090015,31-may-03,"I,II Y III,Biologicos"
MI BODEGA AURRERA,FARMACIA,IGNACIO ALLENDE No. 407,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090015,31-may-06,"PSICOTRÓPICOS FRACCIÓN II Y III, 
VACUNAS,TOXOIDES, SUEROS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"DE GENERICOS SAN 
CHARBEL",FARMACIA,COLON NO. 146-A,,,SALVATIERRA,GUANAJUATO,11028090016,21-abr-06,II Y III
"""LARA""",FARMACIA,OCAMPO N.709-B CENTRO,,,SALVATIERRA,GUANAJUATO,11028090017,01-jun-01,"I,II Y III,Biologicos"
ISSEG No. 120,FARMACIA,JUAREZ NO. 619,,,SALVATIERRA,GUANAJUATO,11028090017,14-jun-06,"II Y III,Biologicos"
"FARMACIA I.S.S.E.G. NO. 
27",FARMACIA,HIDALGO NO. 539-A,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090030,12-feb-19,"PSICOTRÓPICOS FRACCION II y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"""ESPECIAL""",FARMACIA,JUAREZ N.312-B,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028090021,07-ago-09,"II Y III,Biologicos"
DIVINO NIÑO DE JESUS,FARMACIA,HIDALGO No. 7-A,,,SALVATIERRA,GUANAJUATO,11028090022,25-may-10,"I,II Y III"
"SORIANA EXPRESS SUC. 
SALVATIERRA",FARMACIA,"BLVD. JUAN JESUS POZADAS 
OCAMPO NO. 300",,,SALVATIERRA,GUANAJUATO,11028090023,09-ago-11,II Y III
"""ANEXA A HOSPITAL 
GRAL. SALVATIERRA""",BOTICA,MELCHOR OCAMPO N.414,,,SALVATIERRA,GUANAJUATO,11028100002,28-abr-03,"I,II Y III,Biologicos"
"""ANEXA ASANATORIO 
SIGLO XXI""",BOTICA,"MORELOS N.641-A,",CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100004,17-ene-07,"I,II Y III, Biologicos"
ANEXA A UMF DEL ISSSTE,BOTICA,PRIVADA DE MINA No. 106,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100005,12-nov-08,"II Y III,Biologicos"
"ANEXA A UMAPS DE 
CUPAREO",FARMACIA,JUAREZ S/N CUPAREO,,,SALVATIERRA,GUANAJUATO,11028100006,11-feb-10,"II Y III,Biologicos"
"ANEXA A UMAPS PUERTA 
DEL MONTE",BOTICA,"16 DE SEPTIEMBRE NO. 4 , 
LOCALIDAD PUERTA DEL 
MONTE",CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100007,01-mar-10,II Y III
"ANEXA A CENTRO SALUD 
SAN PEDRO DE LOS 
NARANJOS",FARMACIA,"CORREGIDORA ESQ. CARR. 
SALVALVATIERRA-YURIRIA S/N",,,SALVATIERRA,GUANAJUATO,11028100009,04-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS SANTO 
TOMAS HUATZINDEO",BOTICA,"NICOLAS BRAVO ESQ. 
REFORMA LOC. SANTO TOMAS 
HUATZINDEO",,,SALVATIERRA,GUANAJUATO,11028100010,04-mar-10,"II Y III,Biologicos"
"ANEXA AUMAPS 
ESTANCIA DEL CARMEN 
DE MARAVATIO",BOTICA,"EL ESTUDIANTE S/N ESTANCIA 
DEL CARMEN DE MARAVATIO",,,SALVATIERRA,GUANAJUATO,11028100011,04-mar-10,"II Y III,Biologicos"
"ANEXA AL UMAPS EL 
CAPULIN",BOTICA,"ADOLFO LOPEZ MATEOS No. 
450 , LOC. EL CAPULIN",CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100012,04-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS LAS 
CRUCES",BOTICA,HIDALGO NO.100  LAS CRUCES,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100013,04-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS SAN 
NICOLAS DE LOS 
AGUSTINOS",BOTICA,"INDEPENDENCIA ESQ. 
ANTONIO MADRAZO SAN 
NICOLAS DE LOS AGUSTINOS",,,SALVATIERRA,GUANAJUATO,11028100014,04-mar-10,"II Y III,Biologicos"
"DEL CENTRO DE SALUD 
RURAL SAN MIGUEL 
EMENGUARO",FARMACIA,JAIME NUNO No. 1,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100015,04-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS 
GERVACIO MENDOZA",BOTICA,"MORELOS S/N LOC. GERVACIO 
MENDOZA",,,SALVATIERRA,GUANAJUATO,11028100016,05-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS 
SALVATIERRA",BOTICA,FERNANDO DAVILA NO. 425,CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100017,09-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS DE 
MARAVATIO DEL ENCINAL",BOTICA,"ALLENDE ESQ. MADERO NO. 
208  MARAVATIO",CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100018,17-mar-10,"II Y III,Biologicos"
"ANEXA A UMAPS 
RANCHITO  DE SAN JOSE 
DEL CARMEN",FARMACIA,"EMILIANO ZAPATA S/N LOC. EL 
RANCHITO SAN JOSE DEL 
CARMEN","RANCHITO SAN JOSE 
DEL CARMEN",,SALVATIERRA,GUANAJUATO,11028100019,23-abr-10,"II Y III,Biologicos"
"ANEXA A UMAPS SAN 
PABLO PEJO",BOTICA,"PROLONGACIÓN GALEANA S/N 
LOC. SAN PABLO PEJO",CENTRO,38900,SALVATIERRA,GUANAJUATO,11028100020,12-may-10,"II Y III,Biologicos"
"ANEXA A MEDIKA 
MORALES",BOTICA,"SANTOS DEGOLLADO NO. 517-
A CENTRO",,,SALVATIERRA,GUANAJUATO,11028100021,08-sep-11,"I,II Y III,Biologicos"
"ANEXA A UMAPS EL 
SABINO",BOTICA,"JOAQUIN AMARO ESQ. 
GONZALEZ ORTEGA S/N",,,SALVATIERRA,GUANAJUATO,1102810008,01-mar-10,"II Y III,Biologicos"
"""LA NUEVA""",FARMACIA,MINA N.71,CENTRO,C.P. 37850,SAN DIEGO DE LA UNION,GUANAJUATO,11029090001,31-may-03,"PSICOTRÓPICOS GRUPO II, III 
TOXOIDES"
"ANEXA A CAISESE SAN 
DIEGO DE LA UNION",FARMACIA,FLEMING NO. 1,CENTRO,C.P. 37850,SAN DIEGO DE LA UNION,GUANAJUATO,11029090004,07-dic-06,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
VACUNA,TOXOIDES,SUEROS,ANTITOXI
NAS, HEMODERIVADOS"
"""ISSEG N. 48""",FARMACIA,ALVARO OBREGON N. 102,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090009,01-nov-18,"PSICOTRÓPICOS GRUPO II, III 
VACUNAS,TOXOIDES,SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"""ANEXA A UMF N. 30",BOTICA,CALLE ALLENDE S/N,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090002,23-abr-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"COMERCIALIZADORA 
NACIONAL DE 
MEDICAMENTOS",FARMACIA,PLAZA PRINCIPAL N. 130,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090003,30-abr-01,"PSICOTRÓPICOS GRUPO II, III"
"""SANTA ELENA""",FARMACIA,16 DE SEPTIEMBRE NO.205,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090004,30-abr-01,"PSICOTRÓPICOS GRUPO II, III 
VACUNAS TOXOIDES"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,ALVARO OBREGON NO. 120,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090004,24-nov-05,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""ANEXA A CLINICA DE 
ESPECIALIDADES SAN 
FELIPE""",FARMACIA,PRIMO VERDAD No.420-A,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090005,01-dic-05,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""SAN MARTIN DE PORRES""",FARMACIA,JIMENEZ N.414-A,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090006,30-abr-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
PERPETUO SOCORRO,FARMACIA,PINO SUAREZ N. 205,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090008,01-jun-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"ANEXA A HOSPITAL 
COMUNITARIO SAN FELIPE",FARMACIA,"AV.DR. ENRIQUE HERNANDEZ 
ALVAREZ S/N","AV.DR. ENRIQUE 
HERNANDEZ ALVAREZ 
S/N",C.P. 37600,SAN FELIPE,GUANAJUATO,11030090009,05-dic-06,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"ANEXA A CLINICA 
MATERNIDAD GUADALUPE",FARMACIA,ALLENDE N.425,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090010,03-jul-08,"PSICOTRÓPICOS GRUPO II, III"
"SORIANA EXPRESS 
SUCURSAL SAN FELIPE",FARMACIA,"BELISARIO DOMINGUEZ NO. 
429",COL. REVOLUCIÓN,C.P. 37600,SAN FELIPE,GUANAJUATO,11030090011,03-sep-10,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
ANEXA A UMF NO. 25,BOTICA,"CARR. SAN FELIPE-VILLA DE 
REYES S/N","CARR. SAN FELIP-VILLA 
DE REYES S/N",C.P. 37600,SAN FELIPE,GUANAJUATO,11030100001,28-jun-05,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"ANEXA A UNIDAD DE 
MEDICINA FAMILIAR SAN 
FELIPE",BOTICA,JALISCO Y MICHOACAN S/N,COL. FOVISSTE,C.P. 37600,SAN FELIPE,GUANAJUATO,11030100002,19-ago-04,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
SAN CIRO,FARMACIA,MADERO NO. 113,CENTRO,C.P. 37600,SAN FELIPE,GUANAJUATO,11030100002,19-ago-04,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III"
BOTICA ANEXA A CERESO,FARMACIA,"CARR. SAN FELIPE-OCAMPO 
KM.2.5","CARR. SAN FELIPE-
OCAMPO KM.2.5",C.P. 37600,SAN FELIPE,GUANAJUATO,11030100003,03-jul-08,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"FARMACIA ANEXA AL 
HOSP. GRAL. DE 
SUBZONA No.7 MED. FAM. 
No. 52""",FARMACIA,"CARR. SAN FCO. DEL RINCON-
LEON KM.1",CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090001,10-ene-01,"ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS FRACCIONES  II Y III, 
VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL."
I.S.S.E.G No. 29,FARMACIA,FRANCISCO I. MADERO No.113,CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090001,11-oct-10,"PSICOTROPICOS GRUPOII Y III, 
VACUNAS,TOXOIDES Y SUEROS DE 
ORIGEN ANIMAL."
I.S.S.E.G No.73,FARMACIA,MA. DE LA LUZ BRAVO N.501-A,CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090003,03-oct-01,"PSICOTROPICOS FRACCIONES II Y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL"
GUADALAJARA,FARMACIA,DIAZ MIRON No.102,CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090003,30-abr-01,"PSICOTROPICOS FRACCIONES II Y III, 
VACUNAS,TOXOIDES,SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL"
ALFA(HOSPITAL),FARMACIA,AV. PANAMA NO.503,RENOVACIÓN,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090005,24-ene-02,"PSICOTROPICOS FRACCIONES II Y III, 
Biologicos"
SAN FRANCISCO DE ASIS,FARMACIA,BENITO JUAREZ No.120,CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090006,10-jul-01,"PSICOTROPICOS FRACCIONES II Y III, 
VACUNAS,TOXOIDES, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL"
SANATORIO SAN JOSE,FARMACIA,NICOLAS BRAVO NO.514 OTE,RESIDENCIAL RUENES,36370,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090010,24-oct-02,"PSICOTROPICOS FRACCIONES II Y III, 
VACUNAS, SUEROS Y ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS."
"BODEGA AURRERA SAN 
FRANCISCO",FARMACIA,"BLVD. EMILIANO ZAPATA No. 
307",CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090011,21-feb-03,"II Y III, Biologicos"
MONSERRAT,FARMACIA,"JOSEFA ORTIZ DE DOMINGUEZ 
NO. 138",CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090014,08-sep-05,"PSICOTROPICOS  FRACCION II Y 
FRACCION III"
SAGRADO CORAZON,FARMACIA,"SAN FRANCISCO - JESUS DEL 
M. 63-A",EL MAGUEY,36446,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090017,15-ago-06,"PSICOTROPICOS FRACCIONES II Y III,"
DEL AHORRO,FARMACIA,"SALVADOR DIAZ MIRON No. 
214",CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090020,03-jun-11,"PSICOTROPICOS FRACCIONES II Y III, 
VACUNAS,TOXOIDES, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIAS ABC DE 
MEXICO",FARMACIA,BENITO JUAREZ N.118,CENTRO,36300,"SAN FRANCISCO DEL 
RINCON",GUANAJUATO,11031090023,15-may-08,"II Y III, Biologicos"
